demonstration	test_sentence	response
男人不是女人的全部	他是知青子女正在读博士	他是博士
我周日晚上走	那个是所有的	所有
你们那边晚上几点啦	他搞他的我搞我的	他搞我的
我姐姐说她都这把年纪了	那你就吃点饭打发一下时间嘛	那你就吃点饭嘛
我可以包你晚饭	我们换了新领导	我们换了
你就带着这些东西来就好了	钱到位你就买你单位的吧	到位你就买单吧
现在儿子肯定多数听老婆的	土地基金增强特区财政储备	土地基金增强财政
但是公司有营销策划部门	你有宽胶带吗	你有吗
所以你先做前期工作	所以你换家医院看看不行吗	所以你换医院不行吗
你可以搜索一下他的文章什么的	你是啥星座呀	你是啥呀
所以我一个人在家	主专业不是我们学院就是学校的	主专业是学校的
那人都是这样的啊	那是旧社会	那是旧
你有铁饭碗就好好珍惜吧	哎我今天中午也没睡觉	fail to follow
现在这里早上十点半	你是怎么知道这篇文章的	你是怎么知道的
那盘菜是红烧排骨	可是中间有个时间差	可是中间有
他也是四个月暑假啊	那是理想国	那是
你啥时候调去的	那张有大师水平	那张有水平
你那里还有我的照片吗	我也觉得男的好	我也觉得好
你回来不写比赛材料吗	人家都是有专业人士照顾的	人家都是有人照顾的
那是外置天线	这个领导可能有领导的想法吧	这个领导的想法吧
小兵立大功	你要用护士的工号	你要用护士
恩我正在订机票酒店什么的	你雇了多少个人	你雇了多少
我上个月去找他了	你觉得哪个行的最好	你觉得哪个最好
我再给他打个电话问问你	男孩不能太乖这是我的看法	fail to follow
