original	label	prediction
一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生在他们的结婚纪念日上	fail to follow
一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生在他们的结婚纪念日上	惊讶的事情发生在结婚纪念日上
一轮圆月出现在漆黑的夜空上	一轮圆月出现在漆黑的夜空上	一轮圆月出现
这件稀有文物保存在安全保险库中	这件稀有文物保存在安全保险库中	这件稀有文物
这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场重病	这位伟大的艺术家死于一场病
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	厚厚的论文摆放
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	fail to follow
他的父亲死于一次心脏病	他的父亲死于	fail to follow
一张照片挂在他的书房	一张照片挂在他的书房	一张照片挂在书房
他的眼镜放在床头柜上	他的眼镜放在床头柜上	他的眼镜放在
他的父亲死于一次心脏病	他的父亲死于	fail to follow
小男孩看向玩具店的橱窗	小男孩看向玩具店的橱窗	小男孩看橱窗
一只迷路的小狗走向城市公园	一只迷路的小狗走向城市公园	fail to follow
大部分人生活在农村地区	大部分人生活在	大部分人生活在
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	fail to follow
小女孩走向卧室	小女孩走向卧室	小女孩走向
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	厚厚的论文
小女孩走向卧室	小女孩走向卧室	小女孩走向
他们一家生活在一个老旧农舍里	他们一家生活在	他们一家生活在
剩余学生坐在地上	剩余学生坐在	剩余学生坐在
厚厚的论文摆放在书架上	厚厚的论文摆放在书架上	fail to follow
他的父亲死于一次心脏病	他的父亲死于	他的父亲死于
他们一家生活在一个老旧农舍里	他们一家生活在	他们一家生活在
这个故事始于一个小镇	这个故事始于一个小镇	一个小镇
