demonstration	test_sentence	response
Those current holders would also receive minority interests in the new company	They speak volumes about the state of our society at a given moment	they speak volumes
Waxman sells a variety of hardware products for the home repair market	Simpson is an auto parts maker	simpson is
Opponents show that there are already more funds available than commendable reform efforts	He also mentioned increased capital investment by Pacific Bell for network improvements	he also mentioned increased capital investment by pacific bell
The dispute was the subject of a Wall Street Journal article in August	New telephone lines posted healthy growth	telephone lines posted
The key here is the ambition of state Attorney General John Van de Kamp	But most investors were seeking share prices and other information	but most investors were seeking
Waxman sells a variety of hardware products for the home repair market	He sees a psychoanalyst five mornings a week	he sees
The recent sharp stock market decline exacerbated those concerns	But both the traders and the pilots remain interested in some transaction	but both the traders and the pilots remain interested
Those current holders would also receive minority interests in the new company	The key here is the ambition of state Attorney General John Van de Kamp	the key here is the ambition
That means huge travel bills	But the deal fell apart last week for lack of financing	but the deal fell apart last week
The dispute was the subject of a Wall Street Journal article in August	The Ways and Means Committee will hold a hearing on the bill next Tuesday	the ways and means committee will hold a hearing
East Bloc pollution data typically have been state secrets	Fund selling also picked up at that point	fund selling also picked up
The report of the bankruptcy filing stunned Hollywood executives and investors	But they are stalwart socialists	but they are stalwart
Ashland had a loss	The robberies also have set off a controversy involving the airlines	the robberies also have set off a controversy involving
The engine plant may encompass plans for a joint components venture with Jaguar	Silicon Valley heaved a sigh of relief yesterday	silicon valley heaved a sigh of relief
The team then proposed modifications in their work process to management	By the end of the century scientists had embraced the system	fail to follow
It was the highest bid in history for a work of art	The problem is not that the Fed is too unresponsive to the public interest	the problem is not
Housing has been weak all year and especially so in the past five months	But violation could bring substantial tax penalties to both employer and employees	violation could bring substantial tax penalties to both employer and employees
The key here is the ambition of state Attorney General John Van de Kamp	He said that the research team had no financial stake in the drug	he said that
Those current holders would also receive minority interests in the new company	The average recession lasts about a year	the average recession lasts
It also licenses optically based data storage and retrieval devices	The company can go about its business	the company can go
The mining zone has thus remained one of the most desolate places in Africa	Two more securities firms bowed to the outcry over program trading	two more securities firms bowed
These big stocks greatly influence the Nasdaq Composite Index	Deutsche Bank has actively sought a French acquisition for at least two years	deutsche bank has actively sought
He hit the lanes three years ago on the advice of his doctor	The company can go about its business	fail to follow
Drug companies lost a major liability case	Still the Salinger decision created a strong presumption against fair use of unpublished materials	still the salinger decision created
