original	label	prediction
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down and plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	sits down at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he plays
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano and
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits at the piano and plays
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	he sits down at the piano
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
He sits down at the piano and plays	He sits down at the piano and plays	fail to follow
