demon	d_deleted	test	t_deleted	start
This untried concept would expose these firms to potentially astronomical punitive damages	these firms	The plan would impose a brief freeze on physician fees next year	a brief freeze	4
But another big problem has been the aging of baby boomers	the aging of baby boomers	First Interstate made the move under pressure from regulators	the move	3
Some machines make charts for presentations	charts for presentations	Each has an equal vote at the monthly meetings	an equal vote	2
Japan is a major target for the Soviets	a major target for the Soviets	They long made little effort here	little effort	3
It also lowered some air fares	some air fares	Both revenue figures exclude excise taxes	excise taxes	4
The Panamanian affair is only the tip of a more alarming iceberg	only the tip of a more alarming iceberg	Recent data from New York City provide more of the picture	more of the picture	7
This is the commercial version	the commercial version	One apparent side effect is a minor increase in a brain hormone	a minor increase in a brain hormone	5
But there was one bright spot yesterday	one bright spot	The result is mistrust and criticism from all around	mistrust and criticism from all around	3
Retailers could get a boost this year from the calendar	a boost	Yet these figures show only the most visible part of the problem	only the most visible part of the problem	4
The antitrust division of the Justice Department is investigating the oddly similar tuition charges and increases among the top schools	the oddly similar tuition charges and increases among the top schools	The business includes Beefeater gin	Beefeater gin	3
Giant has interests in cement making and newsprint	interests in cement making and newsprint	Manufacturers Hanover had a loss due to a big reserve addition	a loss due to a big reserve addition	3
Analysts expect further jitters this week	further jitters	Competition and mounting insurance and equipment costs have been the undoing of many resorts	the undoing of many resorts	9
One ad features a huge robot carrying a voluptuous woman in a faint	a huge robot carrying a voluptuous woman in a faint	At least it has a little dash	a little dash	4
The issue has also cost Federal management a lot of good will among its old pilots	Federal management	South Korea and the Soviet Union have no diplomatic relations but exchanged trade offices earlier this year	no diplomatic relations	7
The pilots argued that this triggered a pay raise for them	a pay raise for them	Conference committees are breeding grounds for mischief	breeding grounds for mischief	3
Rumors of Soviet interest also pushed up the prices of soybean futures contracts	the prices of soybean futures contracts	Geraldo or Phil would probably pull up another camera and interview the chained protesters	another camera	7
The Journal also will offer expanded volume and frequency discounts	expanded volume and frequency discounts	The Organization of Petroleum Exporting Countries increased its production ceiling for the fourth quarter based on projections of robust demand	its production ceiling for the fourth quarter	7
Some economists expect further declines in investment spending	further declines in investment spending	Ideologues on the other side of the border can also slow the process	the process	11
The House Energy Committee will debate the issue later this month	the issue	Telerate provides information about financial markets through an electronic network	information about financial markets	2
An official linked the gain essentially to higher prices for beef and pork	the gain	The company also faces delisting by the National Association of Securities Dealers	delisting by the National Association of Securities Dealers	4
That would leave Hun Sen and the Khmer Rouge	Hun Sen and the Khmer Rouge	Friday capped a week of steadily rising crude oil prices in both futures and spot markets	a week of steadily rising crude oil prices in both futures and spot markets	2
Retailers could get a boost this year from the calendar	a boost	Baskets of roses and potted palms adorned his bench	his bench	7
Several fund managers expect a rough market this morning before prices stabilize	a rough market this morning	Other mutual fund companies reported even lighter withdrawal requests	even lighter withdrawal requests	5
East Bloc pollution data typically have been state secrets	state secrets	But there are no scientific data on this question	no scientific data on this question	3
Housing has been weak all year and especially so in the past five months	all year	This is an enviably low level	an enviably low level	2
