original	label	prediction	demonstration
胖标书指向原版的老乡	胖标书指向原版的老乡	胖标书指向老乡	我下采购单
大型的达人摆放在网线中	大型的达人摆放在网线中	大型的达人摆放在	本来文件是什么格式
一家酒店走向繁忙的眼霜	一家酒店走向繁忙的眼霜	## add && delete	那个男生很有你当年的感觉
光头标书停在夜行的电子版上	光头标书停在夜行的电子版上	光头停在夜行上	各有各的好吧
想法护照停在根本交换机上	想法护照停在根本交换机上	想法护照停在交换机上	我跟你同学一个组啊
不少家庭生活在天线里	不少家庭生活在天线里	不少家庭在天线里	同学之间没有那多客套
多少低矮的意思发生在你的电梯上	多少低矮的意思发生在你的电梯上	## reorder && delete	蜡烛两头烧
这屏幕发生在驾照精神	这屏幕发生在驾照精神	这屏幕发生	他是纯爷们
两个价位出现在严肃的历史上	两个价位出现在严肃的历史上	## add && delete	我看中了件欧时力的大衣
两个教育挂在你的科技	两个教育挂在你的科技	你的科技	机房里就一个交换机
哪个大厕所放在科技中	哪个大厕所放在科技中	哪个大厕所放在中	钱到位你就买你单位的吧
俺的势头放在游击队里	俺的势头放在游击队里	俺游击队	你几几年的啊
纯粹的师傅放在房东里	纯粹的师傅放在房东里	纯粹的师傅放在房东	我先看看他们接不接受境外信用卡
那个电池始于不少工号	那个电池始于不少工号	那电池不少工号	你啥时候来
这些个大的男人死于好多高中	这些个大的男人死于好多高中	这些大男人死于高中	你是什么时候来
这些英语看向显卡	这些英语看向显卡	看显卡	你办个招行和广发的就行
我的燃料冲到工号旁边	我的燃料冲到工号旁边	我的燃料冲到	消费者是大赢家
这同质化策划保存在同事样子上	这同质化策划保存在同事样子上	## add && delete	我不知道上次你看了群聊记录没
公园指向行政的天线	公园指向行政的天线	公园指向天线	你不是有他的号吗
一条新的时间走向人品学前班	一条新的时间走向人品学前班	一条新的时间走向人品	个人事情方面我觉得我没什么动力
活的电子会计坐在公安时间上	活的电子会计坐在公安时间上	活的电子会计坐在	我就见过好几个这样的人
男的结果放在友情科技	男的结果放在友情科技	男的放在友情科技	我一般这个时候会上
很多安排坐在事情上	很多安排坐在事情上	## add && delete	结果你不接我电话
这经理生活在耐心公园	这经理生活在耐心公园	这经理生活在	忠厚保持到生命最后一刻
