demonstration	test_sentence	response
Drug companies lost a major liability case	We are the producers of that movie	We made the movie.
But he has been getting heat from all sides over program trading	The company could command a good price in the market	The company could command a good price.
But then they wake up to a nightmare	The pilots argued that this triggered a pay raise for them	The pilots argued.
But violation could bring substantial tax penalties to both employer and employees	She has lots of opinions	She has opinions.
He reset opening arguments for today	The competitive sniping can get pretty petty at times	The competitive sniping can get pretty petty.
But some saw it as a classic negotiating tactic	The investors range from elderly widows to affluent professionals	The investors range from.
Breeders are betting on the common folk	Corporate due process appeals to management for a variety of reasons	Corporate due process appeals to management.
The stakes in the controversy are large	Some funds are posting yields far higher than the average	Some funds are higher than the average.
Unease is widespread among exchange members	Many small investors went for the safety of money market funds	Many small investors went for the safety of.
Americans place native or native speakers in charge of subsidiaries overseas	Waxman sells a variety of hardware products for the home repair market	Waxman sells a variety of hardware products for.
Conversation was subdued as most patrons watched the latest market statistics on television	Maybe it was their peculiar sense of history	Maybe it was their peculiar sense.
Two workers died and six remain in the hospital	Following are excerpts from the electronic traffic that night	Following are excerpts from the electronic traffic that.
An assassin in Colombia killed a federal judge on a Medellin street	Details of credit enhancements vary widely from issue to issue	Details of credit enhancements vary widely from issue to.
Red tape is the bugaboo of small business	Competition in the sale of complete bikes is heating up too	Competition in the sale of complete bikes is heating up.
Some economists expect further declines in investment spending	The spinoff should solve a problem for the parent	The spinoff should solve.
Jacobs is an international engineering and construction concern	His humility gives him a much better chance of success	His humility gives.
The project has been in and out of the pipeline for more than a decade	He said that the research team had no financial stake in the drug	He said that the financial stake in the drug.
The collapse of the span has provoked surprise and anger among state officials	Now it is their fellow Turks arriving as refugees from Bulgaria	Now it is their fellow Turks arriving as refugees.
The scientists have experimented on the tiny neck arteries of rats	He sandwiched his praise of constitutional meat between large loaves of bilious commentary	He sandwiched his praise of.
Ski promotions have traditionally avoided the touchy issue of safety	Most of the telephone problems in the immediate aftermath stemmed from congestion	Most of the telephone problems in the immediate aftermath stemmed.
The loyal servant has come full circle	Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Commodity futures prices generally reflected the stability of the stock market following.
Poverty remains far more widespread among blacks than other Americans	The expansion is subject to approval by federal and Wisconsin environmental regulators	The expansion is subject to approval by environmental regulators'.
Other temperature data show similar unexplained swings	The Maybelline beauty product line had higher sales following a sluggish first half	The Maybelline beauty product line had.
London shares closed moderately lower in thin trading	There was tremendous public enthusiasm for stock mutual funds	There was tremendous public enthusiasm.
