demon	d_label	test	start	end	prediction
其实穷也是一种幸福	一种幸福	送礼也是个技术活	19	21	也是个
我们公司在搞什么二十周年庆	什么二十周年庆	燃料电池的项目最近没有什么进展	37	20	nan
我一直放低自己的底线	自己的底线	那个超声喷雾做的是球形的	27	20	nan
这就是贫富差距的显现	贫富差距	看样子这个年龄的男人很危险	27	22	nan
其实穷也是一种幸福	一种幸福	我还有点佩服你师傅这样的人	19	27	有点佩服你师傅这样
我下个月去买车	下个月	我觉得他那个驾校也有问题	19	19	个
你叫什么名字	什么名字	我四点从单位直接出发	17	22	从单位直接出
你问问销售的价格	销售的价格	我在高铁上了	18	21	在高铁上
我这次给了名字的	这次	我对她高中都没什么印象	19	3	nan
你想多少人	多少人	这个是什么意思	19	13	nan
节奏可能跟外企的差不多	外企的	你在那公司里做过吧	19	21	在那公
你问问销售的价格	销售的价格	我觉得他那个驾校也有问题	26	22	nan
社会主义不止一条路	一条路	我知道那个地方	19	20	那个
男人不差在别的地方	别的地方	我跟我同事一起弄她的店	5	23	在别的地方。别的地方。[SEP]我跟我同事一起
你还参加过这种阿	这种	所以我才有其他想法	19	11	nan
你要找天线供应商	天线供应商	那你在群里说说	19	21	在群里
我也正在物色这方面的人才	这方面	我以前唱烛光里的妈妈	4	21	在物色这方面的人才。这方面。[SEP]我以前
半个月前我姨夫出车祸过世了	半个月	那在这个方面上我们能达成共识	21	23	在这个
这就是贫富差距的显现	贫富差距	我以前唱烛光里的妈妈	19	21	以前唱
你在哪个医院	哪个医院	他们报了什么兴趣班	2	9	在哪个医院。哪个
我有个重要问题那里有没有厕所	个重要问题	我们公司在搞什么二十周年庆	27	16	nan
一个人也够无聊的	一个	我昨天走了一个半小时	19	20	一个
那你喜欢什么样的	什么样的	这个得往单位发	19	17	nan
土地基金增强特区财政储备	特区财政储备	我们每个人买了一个新秀丽的箱子	29	25	nan
我准备了好长时间嗯	好长	常规的一些团都会去	24	19	nan
我一直但是这个事情	这个事情	我们公司在搞什么二十周年庆	21	12	nan
你可以查查你们那边的	你们那边的	这个领导可能有领导的想法吧	29	20	nan
这恰恰说明了应试教育的好处	应试教育的好处	那你在群里说说	26	8	nan
半个月前我姨夫出车祸过世了	半个月	你在那公司里做过吧	21	16	nan
我明天有健步走活动	健步走活动	你该找个妹子了	21	21	个
利民经常干这种事情的	这种事情	我一直放低自己的底线	19	13	nan
原来账户的钱不够了	原来账户	女状元的爸爸谈教育	18	21	状元的爸
你入市了几多钱	几多钱	我有同学在这儿	18	4	nan
她是个行政的主任	个行政的主任	我们还不是可以自己活	24	10	nan
我是说手机信息	手机信息	关键是他的英语水平跟我一样	19	27	的英语水平跟我一样
我是你同学	你同学	我们还不是可以自己活	19	13	nan
你啥时来	啥时	我没见过她老公	17	16	nan
文科基本上生活中有点用	生活中	他从楼上摔下来生死未卜我很难过	19	21	从楼上
你的光环是你自己的	你自己的	所以我才有其他想法	19	21	我才有
你的光环是你自己的	你自己的	我们住哪个酒店	19	21	住哪个
每天往返路程需要多长时间	多长	他是换全新的	19	22	是换全新
大雪在圣诞的时候	圣诞的时候	我有同学在这儿	21	21	在
你要找天线供应商	天线供应商	那你还要寄送什么推荐信	19	24	还要寄送什么
社会主义不止一条路	一条路	我们公司在搞什么二十周年庆	20	27	在搞什么二十周年
她通常早上很早起来回复邮件	很早	结果我妈不停的催我	27	21	nan
目录没什么要求把	什么要求	我五点后空的	19	21	后空的
这就是贫富差距的显现	贫富差距的显现	老板应该是想你们回来	25	21	nan
