demonstration	test_sentence	response
October is a critical month for the privatization program	This occurred partly because of more competition as the number of new businesses surged	This occurred because of the number of new businesses surged.
They looked at the miniature and saw a giant folly	All of the bidders contemplate full payment including interest to secured creditors	All of the bidders contemplate full payment.
Whether she can meet that ambitious goal is still far from certain	Surveys suggested that consumer confidence was high before Friday	Surveys suggested was high before Friday.
But the Rockefeller investment is its largest	The house just settled right down into the ground	The house just settled.
That structural lack is crucial because investors are the only source of market liquidity	But most investors were seeking share prices and other information	But most investors were seeking.
Bond prices posted strong gains as investors went on a bargain hunt	He again urged passage of a constitutional amendment outlawing abortion	He again urged passage of a amendment outlawing abortion.
The third principal in the South Gardens adventure did have garden experience	He had been president of the international operations	He had been president of.
It blames most of these on Fatah	Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Commodity futures prices reflected the stability of the stock market following its plunge Friday
Now it is their fellow Turks arriving as refugees from Bulgaria	It was the smallest monthly increase in a year	It was 
The reason was not high interest rates or labor costs	Poland makes no machinery for a plant on that scale	Poland makes no machinery for
But its stock jumped again yesterday as it disclosed surprisingly strong margins on those sales	The company expects all branches to reopen today	The company expects all branches.
It has more drug users than Boston has people	Treasury bonds ended slightly higher in light trading	Treasury bonds ended
There are few factories and no mines	It also found them rising much more in the Northeast than elsewhere	It also found
The American Stock Exchange listed shares of two companies	She has also served on several task forces on acquired immune deficiency syndrome	She has also served
Canadian investment rules require that big foreign takeovers meet that standard	The British government also strongly opposes the charter in its current form	The British government also strongly opposes the charter in 
But junk bonds took more hits	We cruise toward another set of pilings	We cruise toward
The mining zone has thus remained one of the most desolate places in Africa	Most expect the decline in New York stock prices to continue this week	Most expect the decline in New York stock prices to continue
The charges said that one worker suffered permanent brain damage from mercury exposure	Peter Gumbel in Moscow contributed to this article	Peter Gumbel contributed to this article
Yet some funds have pulled in their horns	The plan lacked a withdrawal timetable	The plan lacked
Institutional buyers were the main force pushing blue chips higher	Craig Forman in London contributed to this article	Craig Forman in London contributed
Traders attributed the action in them largely to defensive positioning in a volatile market	The dollar finished at its intraday highs	The dollar finished 
This is New York City	Bosses have big ears these days	Bosses have
Judges will write the real bill as suits roll through the courts	Delayed financings also would affect the operations of many companies	Delayed financings also would affect the operations
Americans place native or native speakers in charge of subsidiaries overseas	Their discomfort is a healthy sign for the rest of us	Their discomfort is a sign for the rest of us
