demonstration	demon_label	demon_cons	demon_parent	test_sentence
你再看一次我的提问	你再看我的提问	QP-D4-N2	VP-D3-N2	我今天有这么个想法
小孩的学习能力会很强的	学习能力会很强的	DNP-D4-N0	NP-D3-N0	移动的和联通的频段是一样的
现在这个社会太复杂了	现在社会太复杂了	DP-D3-N1	NP-D2-N0	她这个人太可怕
你的那款不能	那款不能	DNP-D3-N0	NP-D2-N0	你办个招行和广发的就行
那个和医院没有关系	那个没有关系	PP-D3-N1	VP-D2-N1	那不是跟以前差不多的
新一轮的政治斗争又将开始	政治斗争又将开始	DNP-D3-N0	NP-D2-N0	我的空间里面的相册中你看看
它就要找一个	它就要找	QP-D5-N1	VP-D4-N2	你入市了几多钱
每个公司都取消了	公司都取消了	DP-D3-N0	NP-D2-N0	你说你们这届的
这个网站我邻居家就开这个的	网站我邻居家就开这个的	DP-D4-N0	NP-D3-N0	我们现在客户需要这类的图书
我哪有什么关系	我哪有	NP-D4-N2	VP-D3-N2	生长素可能近期有点效果
我觉得他这个人人品有问题	我觉得他人人品有问题	DP-D6-N1	NP-D5-N1	这游戏的价值比太低了
独立学院的就一个商贸英语类专业	独立学院的就商贸英语类专业	QP-D5-N2	NP-D4-N3	我们大多数的时间都是发在家上
去年一个师弟准备的	去年师弟准备的	QP-D4-N1	NP-D3-N1	婆婆一家来了
我会和我同事分享的	我会和分享的	NP-D6-N1	PP-D5-N0	你们一家的照片比我的还多
我妈妈在电脑前看	我妈妈看	PP-D3-N2	VP-D2-N1	思八达是不是离你家很近
于是我更加关注这支球队	于是我更加关注球队	QP-D5-N0	NP-D4-N2	这么多年的朋友搞得跟个外人似得
我的意思是我不再是以前那么坏	意思是我不再是以前那么坏	DNP-D3-N0	NP-D2-N0	但是防腐剂什么的少
那个人跟我联系了	人跟我联系了	DP-D3-N0	NP-D2-N0	其他的有没有
我在看下子房子的信息	我在看下子信息	DNP-D5-N1	NP-D4-N3	你说你们这届的
商务的报价都是看量的	报价都是看量的	DNP-D4-N0	NP-D3-N0	我的空间里面的相册中你看看
我说你哥的孩子	我说的孩子	NP-D5-N0	DNP-D4-N0	我校内上的颜色稍微好一点
不过连锁系统里比较少	不过里比较少	NP-D3-N1	LCP-D2-N1	我的微博里好多照片
那你找找那本书	那你找找书	DP-D4-N0	NP-D3-N3	你说你们这届的
你的光环是你自己的	你的光环是的	NP-D5-N1	DNP-D4-N3	我也正在物色这方面的人才
男女主角叫啥	主角叫啥	ADJP-D3-N0	NP-D2-N0	他应该没多久假期吧
我觉得他那个驾校也有问题	我觉得他驾校也有问题	DP-D5-N1	NP-D4-N0	这个牌子的衣服质量非常好
他知道这个事	他知道事	DP-D4-N0	NP-D3-N2	我也正在物色这方面的人才
按照银行报表的销售额可以	按照销售额可以	DNP-D4-N0	NP-D3-N1	你可以搜索一下他的文章什么的
移动的和联通的频段是一样的	频段是一样的	DNP-D4-N0	NP-D3-N0	具体渠道什么的肯定没法比
正好我现在一个同事有点心得	正好我现在同事有点心得	QP-D3-N3	NP-D2-N1	我之前有认识另外一位医生
