demonstration	demon_label	delete	cons
书记今天下午回来	书记回来	今天下午	NP-D3-N1
我预约了心脏彩超	我预约了	心脏彩超	NP-D3-N3
那张有大师水平	那张有	大师水平	NP-D3-N3
网上有房型图	网上有	房型图	NP-D3-N2
欧元促进电子商务发展	欧元促进	电子商务发展	NP-D3-N2
会员分散啥意思	会员分散	啥意思	NP-D3-N2
所以你先做前期工作	所以你先做	前期工作	NP-D4-N2
那是男厕所	那是	男厕所	NP-D3-N2
我是说手机信息	我是说	手机信息	NP-D4-N1
龙猫属于夜行动物	龙猫属于	夜行动物	NP-D3-N2
俺双方都是独生子女	俺双方都是	独生子女	NP-D4-N2
那你喜欢什么样的	那你喜欢	什么样的	NP-D3-N3
你就看请求那里	你就看	请求那里	NP-D4-N2
俺弟一结婚我就没什么事了	俺弟一结婚我就没了	什么事	NP-D4-N6
我的微博里好多照片	我的微博里	好多照片	NP-D3-N2
你有铁饭碗就好好珍惜吧	你有就好好珍惜吧	铁饭碗	NP-D5-N1
我都是用网络硬盘的	我都是用的	网络硬盘	NP-D6-N1
我跟我同事一起弄她的店	我跟我同事一起弄	她的店	NP-D4-N4
你再看一次我的提问	你再看一次	我的提问	NP-D4-N3
你每个月包多少流量啊	你包多少流量啊	每个月	NP-D4-N1
我怕她知道我们的聊天	我怕她知道	我们的聊天	NP-D5-N2
你自己住间房还是跟别人一起住啊	你自己住还是跟别人一起住啊	间房	NP-D5-N1
到现在我都只能摸摸它脑袋而已	到现在我都只能摸摸而已	它脑袋	NP-D6-N1
他应该没多久假期吧	他应该没吧	多久假期	NP-D5-N1
你还记得你的账号吗	你还记得吗	你的账号	NP-D5-N2
关键是铁饭碗刮不出多少金子来啊	关键是铁饭碗刮不出来啊	多少金子	NP-D7-N3
他也是四个月暑假啊	他也是啊	四个月暑假	NP-D5-N2
你是怎么知道这篇文章的	你是怎么知道的	这篇文章	NP-D6-N2
钱到位你就买你单位的吧	钱到位你就买吧	你单位的	NP-D5-N4
国内驾照只能在这里用一个月	国内驾照只能在这里用	一个月	NP-D6-N3
