demonstration	demon_label	test_sentence	response	attachment	structure
The musician tuned the guitar	The musician tuned	Dan entered the room with a window	Dan entered window	pp	structure_1
The market of the city attracted the collectors	The market of attracted the collectors	The thesis of the editor that had the big nose made a lot of sense	The thesis of made a lot of sense	adjunct	structure_1
The song of the player is really popular	The song of is really popular	The painter of the house that had the small windows looked odd	The painter of looked odd.	adjunct	structure_1
The pilot flew the airplane	The pilot flew	Van Gogh sold the paintings with a broken heart	Van Gogh sold	pp	structure_2
The architect designed the building	The architect designed	The coach motivated the team with inspiring words	The coach motivated	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The chef of the restaurant that had the blue tiles pleased us	The chef of pleased us.	adjunct	structure_1
The student read the book	The student read	The basketball player won the game with lots of audience	The basketball player won.	pp	structure_1
The carpenter built the house	The carpenter built	The comedian saw the crowd with fresh flowers	The comedian saw.	pp	structure_1
The library of the school attracted many scholarse	The library of attracted many scholarse	The driver of the car that had the moustache was pretty cool	The drive of was pretty cool.	adjunct	structure_2
The park of the city delighted the children	The park of delighted the children	The writer of the letter that had blonde hair arrived this morning	The writer of arrived this morning.	adjunct	structure_2
The gallery of the center impressed the critics	The gallery of impressed the critics	The gold of the miner that had the impurities was worthless	The gold of was worthless.	adjunct	structure_2
The king of the mountain impressed Arthur	The king of impressed Arthur	The drugs of the supplier that had a nasty effect hurt everyone	The drugs of hurt everyone.	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The machine of the inventor that had the goatee was amazing	The machine of was amazing.	adjunct	structure_1
The mechanic fixed the engine	The mechanic fixed	Charles runs a photo studio with two floors	Charles runs.	pp	structure_1
The actor memorized the script	The actor memorized	Jasmine sang the song with the lovely students	Jasmine sang.	pp	structure_2
The house of the painter looked odd	The house of looked odd	The bishop of the church that had the funny eyebrows looked odd	The bishop of looked odd.	adjunct	structure_2
The plaza of the metropolis energized the crowd	The plaza of energized the crowd	The valley of the flowers that had the old castle excited the tourists	The valley of excited the tourists.	adjunct	structure_2
The baker kneaded the dough	The baker kneaded	Queen Elizabeth II ate the cake with a red rose	Queen Elizabeth II ate.	pp	structure_1
The dog of the officer came back this evening	The dog of came back this evening	The song of the singer that had long eyelashes was very smart	The song of was very smart.	adjunct	structure_1
The chef seasoned the soup	The chef seasoned	Michelle watched the movie with her boyfriend	Michelle watched.	pp	structure_2
The hiker climbed the mountain	The hiker climbed	The professor challenged the students with his projects	The professor challenged.	pp	structure_2
The lawyer argued the case	The lawyer argued	Mom melted the chocolate with an iron pot	Mom melted.	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The gang of the criminal that had a long scar disappeared last Monday	The gang of disappeared last Monday.	adjunct	structure_1
The gamer played the game	The gamer played	The magician thanked the participant with a big nose	The magician thanked.	pp	structure_1
