demonstration	demon_label
Large pockets of poverty still exist	still exist
But not just any bonds will do	But will do
Stock prices slipped lower in moderate trading	Stock prices
But then they wake up to a nightmare	But then they
Not everyone believes that the good times are over for shippers	Not everyone believes that the good times are over for
Call at par after two years and thereafter at par every six months	Call at par after and thereafter at par every six months
Traders are already buckling their seat belts	Traders are already buckling
He is our most dangerous enemy	He is
Craig Torres and Anne Newman contributed to this article	Craig Torres and contributed to this article
The economic ideas in the document are much bolder than current policies	in the document are much bolder than current policies
The battle for customer loyalty is evident along the Cobb Parkway strip	The battle is evident along the Cobb Parkway strip
The measure also includes spending cuts and increases in federal fees	The measure also includes spending cuts and increases
Other companies are introducing related products	Other companies are
Speculation about a takeover fight has sent Jaguar shares soaring in the past six weeks	Speculation about a takeover fight has
In the end politics got in the way	In the end politics got
Institutional investors mostly remained on the sidelines Tuesday	Institutional investors mostly remained Tuesday
There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	There are a few ramshackle fishing towns with quiet atolls of resort houses
Now the Alley has moved ahead on both artistic and financial fronts	Now the Alley has moved on both artistic and financial fronts
No lawyers or tape recorders were present	No lawyers or tape recorders were
But the dollar was mixed	But the dollar was
An American journalist now is standing trial in Namibia	An American journalist is standing trial in Namibia
Marketing and sales departments then urged abandonment of the pico project	Marketing and sales departments urged abandonment of the pico project
But transportation officials worry that such extraordinary measures and cooperation may not last	But transportation officials worry that
The joke here is that the Giants lost by de fault	The joke here is that
Nissan will introduce a completely revamped Sentra next fall	Nissan will introduce a Sentra next fall
Now the Alley has moved ahead on both artistic and financial fronts	Now the Alley has moved ahead on fronts
The closely watched funds rate is what banks charge each other on overnight loans	The closely watched funds rate is
Nashua announced the Reiss request after the market closed	Nashua announced the Reiss request
The heavy buying in the last half hour led the specialists to take special steps	The heavy buying in the last half hour led
But critics consider the changes regressive	But critics consider
The transaction is subject to a definitive agreement and approval by Ideal shareholders	The transaction is subject
The bond market was unmoved by the economic statistics	The bond market was unmoved
Recession fears are springing up again among investors	Recession fears are springing again among investors
He turned himself in to authorities in New York earlier this year	He turned himself to authorities in New York earlier this year
The project has been in and out of the pipeline for more than a decade	The project has been in and out for more than a decade
The problem here is not in the concept but in its lack of discrimination	The problem here is not but in its lack of discrimination
The company earns about half its revenue overseas and plans further expansion	The company earns its revenue overseas and plans further expansion
Estimated volume was three million ounces	Estimated volume was ounces
Turkey in any event is long past it	Turkey is long past it
Perhaps in time the Supreme Court will correct them	Perhaps the Supreme Court will correct them
Moscow and Kabul must have found that information useful	Moscow and Kabul must have found that information
They want psyllium prices low for their purchases next year	They want psyllium prices for their purchases next year
