demonstration	demon_label	demon_cons	demon_parent	test_sentence
The stock market reacted strongly to the news	The stock market reacted strongly to	NP-D3-N2	PP-D2-N5	Most analysts had expected a sharper decline after the steep rise in August
The network must refund money to the advertisers and loses considerable revenue and prestige	The network must refund money to and loses considerable revenue and prestige	NP-D5-N2	PP-D4-N2	Cadillac may be on to something
But the two countries remain separated by a cultural barrier wider than the ocean	But the two countries remain separated	PP-D3-N1	ADJP-D2-N4	The Old Crowd is deeply concerned by the backlash from all this
Preparedness involves more than flashlights and fire alarms these days	Preparedness involves more than these days	NP-D4-N2	PP-D3-N1	The current ruble rate has long been out of line with the black market
He sits down at the piano and plays	He sits down and plays	PP-D3-N2	VP-D2-N1	The scientists have experimented on the tiny neck arteries of rats
Our international efforts were far greater than ever before	Our international efforts were	ADJP-D2-N4	VP-D1-N1	Trading volume was only modestly higher than normal
The issues of companies with ties to the junk bond market also tumbled Friday	The issues of companies also tumbled Friday	PP-D4-N1	NP-D3-N3	Now it is their fellow Turks arriving as refugees from Bulgaria
Ideologues on the other side of the border can also slow the process	Ideologues on the other side can also slow the process	PP-D4-N1	NP-D3-N2	Employees wore identification badges listing not only their names but also their dates of hire
But the apple industry is ripe for change	But the apple industry is ripe	PP-D3-N1	ADJP-D2-N4	Abortion via the pill is far more of an ordeal than conventional surgical abortion
Conversation was subdued as most patrons watched the latest market statistics on television	Conversation was subdued as most patrons watched the latest market statistics	PP-D5-N4	VP-D4-N1	Maybe it was their peculiar sense of history
This hurts the price of corporate bonds	This hurts the price of	NP-D4-N3	PP-D3-N1	This leads to a very special sense of urgency
Estimated volume was a very light one million ounces	Estimated volume was a one million ounces	ADJP-D3-N1	NP-D2-N3	The Panamanian affair is only the tip of a more alarming iceberg
Both issues are among the most popular with individual investors	Both issues are among	NP-D3-N1	PP-D2-N3	Columbia announced the results after the close of the stock market
Expansion plans also include acquisitions in growing foreign markets	Expansion plans also include acquisitions in	NP-D4-N2	PP-D3-N1	The loss of more customers is the latest in a string of problems
We do not depend on pharmaceutical companies for our support	We do not depend on for our support	NP-D4-N1	PP-D3-N1	The thrift and the holders had suspended their lawsuits as part of the agreement
They are awaiting an arbitration proceeding	They are awaiting	NP-D3-N1	VP-D2-N2	He said that the research team had no financial stake in the drug
The state can also bar Drexel as an investment adviser	The state can also bar Drexel as	NP-D4-N2	PP-D3-N3	The relative calm in Tokyo proved little comfort to markets opening up in Europe
Japanese government bonds ended lower after the dollar rose modestly against the yen	Japanese government bonds ended lower after the dollar rose modestly against	NP-D6-N2	PP-D5-N4	Shares of biotechnology companies in the area were also higher
The dollar gained against most foreign currencies	The dollar gained	PP-D2-N3	VP-D1-N1	One apparent side effect is a minor increase in a brain hormone
She held her fire with her first production at the Trinity earlier this season	She held her fire with	NP-D3-N3	PP-D2-N3	This kind of contingency analysis is common in war planning and business planning
An assassin in Colombia killed a federal judge on a Medellin street	An assassin in Colombia killed a federal judge	PP-D2-N4	VP-D1-N1	Traders attributed the action in them largely to defensive positioning in a volatile market
Some business analysts blame the problem on tough competition in the insurance market	Some business analysts blame the problem on tough competition	PP-D4-N1	NP-D3-N3	Still the Salinger decision created a strong presumption against fair use of unpublished materials
Only now is it undergoing a badly needed facelift	Only now is it undergoing a facelift	ADJP-D3-N1	NP-D2-N4	Market conditions point to even lower prices next year
These securities are attractive to Japanese investors for three reasons	These securities are attractive to Japanese investors for	NP-D3-N3	PP-D2-N4	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership
Measures of manufacturing activity fell more than the overall measures	Measures fell more than the overall measures	PP-D2-N1	NP-D1-N0	He is a lawyer with a string of academic degrees
Strong farmer selling over the weekend also weighed on prices	Strong farmer selling over also weighed on prices	NP-D2-N4	PP-D1-N1	She has also served on several task forces on acquired immune deficiency syndrome
But the two countries remain separated by a cultural barrier wider than the ocean	But the two countries remain separated	PP-D3-N1	ADJP-D2-N4	Yet he has proved more resilient than any of them
But developers of four planned office towers cautioned that obstacles still remain	But developers cautioned that obstacles still remain	PP-D2-N1	NP-D1-N1	Some funds are posting yields far higher than the average
The collapse of the span has provoked surprise and anger among state officials	The collapse of the span has provoked surprise and anger among	NP-D5-N4	PP-D4-N3	Another poked a hole in the heel of his shoe
The merger requires the approval of Norwegian authorities	The merger requires the approval of	NP-D4-N3	PP-D3-N1	Market conditions point to even lower prices next year
