sentence	tree
Accounting problems raise more knotty issues	(S (NP (JJ Accounting) (NNS problems) ) (VP (VBP put) (NP (JJR more) (JJ knotty) (NNS issues)) ) )
Prospective competition is one problem	(S (NP (JJ Prospective) (NNS competition) ) (VP (VBZ is) (NP (DT one) (NN problem)) ) )
These people have different agendas	(S (NP (DT These) (NN people) ) (VP (VBP have) (NP (JJ different) (NNS agendas)) ) )
Pension reform was its main thrust	(S (NP (JJ Pension) (NN reform) ) (VP (VBD was) (NP (PRP$ its) (JJ main) (NNS thrust)) ) )
Rising operating expenses are another problem	(S (NP (JJ Rising) (JJ operating) (NNS expenses) ) (VP (VBP are) (NP (DT another) (NN problem)) ) )
Some institutional traders loved the wild ride	(S (NP (DT Some) (JJ institutional) (NNS traders) ) (VP (VBD loved) (NP (DT the) (JJ wild) (NN ride)) ) )
The plan lacked a withdrawal timetable	(S (NP (DT The) (NN plan) ) (VP (VBD lacked) (NP (DT a) (JJ withdrawal) (NN timetable)) ) )
Two election commission members opposed the matching plans	(S (NP (DT Two) (NN election) (NN commission) (NNS members) ) (VP (VBD opposed) (NP (DT the) (JJ matching) (NNS plans)) ) )
The suit seeks unspecified damages	(S (NP (DT The) (NN suit) ) (VP (VBZ seeks) (NP (JJ unspecified) (NNS damages)) ) )
Many law firms sponsor their own programs	(S (NP (DT Many) (NN law) (NNS firms) ) (VP (VBP sponsor) (NP (PRP$ their) (JJ own) (NNS programs)) ) )
Hostile takeovers are quite a new phenomenon	(S (NP (JJ Hostile) (NNS takeovers) ) (VP (VBP are) (NP (JJ quite) (DT a) (JJ new) (NN phenomenon)) ) )
His father ran a construction company	(S (NP (PRP$ His) (NN father) ) (VP (VBD ran) (NP (DT a) (NN construction) (NN company)) ) )
Potential side effects include high blood pressure	(S (NP (JJ Potential) (JJ side) (NNS effects)) (VP (VBP include) (NP (JJ high) (NN blood) (NN pressure))))
The federal judge granted a temporary restraining order	(S (NP (DT The) (JJ federal) (NN judge)) (VP (VBD granted) (NP (DT a) (JJ temporary) (NN restraining) (NN order))))
This boy needs your help	(S (NP (DT This) (NN boy)) (VP (VBZ needs) (NP (PRP$ your) (NN help))))
The young girl loves her new toy	(S (NP (DT The) (JJ young) (NN girl)) (VP (VBZ loves) (NP (PRP$ her) (JJ new) (NN toy))))
The old man feeds the stray cat	(S (NP (DT The) (JJ old) (NN man)) (VP (VBZ feeds) (NP (DT the) (JJ stray) (NN cat))))
The diligent student learns her lessons	(S (NP (DT The) (JJ diligent) (NN student)) (VP (VBZ learns) (NP (PRP$ her) (NNS lessons))))
My little brother enjoys this interesting game	(S (NP (PRP$ My) (JJ little) (NN brother)) (VP (VBZ enjoys) (NP (DT this) (JJ interesting) (NN game))))
Local residents appreciate the beautiful park	(S (NP (JJ Local) (NNS residents)) (VP (VBP appreciate) (NP (DT the) (JJ beautiful) (NN park))))
Your father deserves a vacation	(S (NP (PRP$ Your) (NN father)) (VP (VBZ deserves) (NP (DT a) (NN vacation))))
Our friendly neighbor shares his delicious food	(S (NP (PRP$ Our) (JJ friendly) (NN neighbor)) (VP (VBZ shares) (NP (PRP$ his) (JJ delicious) (NN food))))
Their enthusiastic coach trains the young team	(S (NP (PRP$ Their) (JJ enthusiastic) (NN coach)) (VP (VBZ trains) (NP (DT the) (JJ young) (NN team))))
The local community supports our fundraising event	(S (NP (DT The) (JJ local) (NN community)) (VP (VBZ supports) (NP (PRP$ our) (NN fundraising) (NN event))))
Her father protects the family	(S (NP (PRP$ Her) (NN father)) (VP (VBZ protects) (NP (DT the) (NN family))))
The urban children receive free education	(S (NP (DT The) (JJ urban) (NNS children)) (VP (VBP receive) (NP (JJ free) (NN education))))
City dwellers crave a quiet countryside life	(S (NP (NN City) (NNS dwellers)) (VP (VBP crave) (NP (DT a) (JJ quiet) (NN countryside) (NN life))))
Most people respect this great leader	(S (NP (JJS Most) (NNS people)) (VP (VBP respect) (NP (DT this) (JJ great) (NN leader))))
My friends cherish our high school memories	(S (NP (PRP$ My) (NNS friends)) (VP (VBP cherish) (NP (PRP$ our) (NML (JJ high) (NN school)) (NNS memories))))
This beautiful painting evokes strong emotions	(S (NP (DT This) (JJ beautiful) (NN painting)) (VP (VBZ evokes) (NP (JJ strong) (NNS emotions))))
会计问题引发更多棘手事件	(S (NP (NN 会计) (NN 问题) ) (VP (VV 引发) (NP (JJ 更多) (JJ 棘手) (NN 事件)) ) )
预期的竞争是一个问题	(S (NP (VV 预期) (DEG 的) (NN 竞争) ) (VP (VC 是) (NP (QP 一个) (NN 问题)) ) )
这些人有不同的议程	(S (NP (DT 这些) (NN 人) ) (VP (VV 有) (NP (JJ 不同) (DEG 的) (NN 议程)) ) )
养老金改革是其主要推动力	(S (NP (NN 养老金) (NN 改革) ) (VP (VC 是) (NP (DT 其) (JJ 主要) (NNS 推动力)) ) )
上升的运营费用是另一个问题	(S (NP (VV 上升) (DEG 的) (NN 运营) (NN 费用) ) (VP (VC 是) (NP (DT 另一个) (NN 问题)) ) )
一些机构交易员喜欢这种疯狂的旅程	(S (NP (DT 一些) (NN 机构) (NN 交易员) ) (VP (VV 喜欢) (NP (DT 这种) (JJ 疯狂) (DEG 的) (NN 旅程)) ) )
该计划缺乏撤回时间表	(S (NP (DT 该) (NN 计划) ) (VP (VV 缺乏) (NP (NN 撤回) (NN 时间表)) ) )
两名选举委员会成员反对配对计划	(S (NP (DT 两名) (NN 选举) (NN 委员会) (NNS 成员) ) (VP (VV 反对) (NP (NN 配对) (NN 计划)) ) )
该诉讼寻求未具体说明的损害赔偿	(S (NP (DT 该) (NN 诉讼) ) (VP (VV 寻求) (NP (JJ 未具体说明) (DEG 的) (NN 损害赔偿)) ) )
许多律师事务所赞助自己的项目	(S (NP (DT 许多) (NN 律师) (NNS 事务所) ) (VP (VV 赞助) (NP (DT 自己) (DEG 的) (NN 项目)) ) )
恶意收购是一个相当新的现象	(S (NP (NN 恶意) (NN 收购) ) (VP (VC 是) (NP (DT 一个) (JJ 相当) (JJ 新的) (NN 现象)) ) )
他的父亲经营一家建筑公司	(S (NP (DT 他的) (NN 父亲) ) (VP (VV 经营) (NP (DT 一家) (NN 建筑) (NN 公司)) ) )
可能的副作用包括高血压	(S (NP (JJ 可能) (DEC 的) (NP (NN 副作用))) (VP (VV 包括) (NP (NN 高血压))))
联邦法官授予临时限制令	(S (NP (NN 联邦) (NN 法官)) (VP (VV 授予) (NP-OBJ (ADJP (JJ 临时)) (NP (NN 限制令)))))
这个男孩需要你的帮助	(S (NP (DP (DT 这个)) (NP (NN 男孩))) (VP (VV 需要) (NP-OBJ (DNP (NP (PN 你)) (DEG 的)) (NP (NN 帮助)))))
那个年轻的女孩爱她的新玩具	(S (NP (DT 那个) (JJ 年轻) (DEC 的) (NN 女孩)) (VP (VV 爱) (NP-OBJ (DNP (PN 她) (DEG 的)) (ADJP (JJ 新)) (NP (NN 玩具)))))
那个老人喂那只流浪猫	(S (NP (DP (DT 那个)) (NP (NN 老人))) (VP (VV 喂) (NP (DT 那个) (JJ 流浪) (NN 猫))))
勤奋的学生学习她的课程	(S (NP (JJ 勤奋) (DEC 的) (NP (NN 学生))) (VP (VV 学习) (NP (DT 她) (DEG 的) (NP (NN 高血压)))))
我的小弟弟享受这个有趣的游戏	(S (NP (DNP (NP (PN 我)) (DEG 的)) (NP (NN 小弟弟))) (VP (VV 享受) (NP-OBJ (DT 这个) (JJ 有趣) (DEC 的) (NP (NN 游戏)))))
当地居民欣赏美丽的公园	(S (NP (NN 当地) (NN 居民)) (VP (VV 欣赏) (NP-OBJ (JJ 美丽) (DEC 的) (NP (NN 公园)))))
你的父亲值得一个假期	(S (NP (DNP (NP (PN 你)) (DEG 的)) (NP (NN 父亲))) (VP (VV 值得) (NP-OBJ (QP (CD 一个)) (NP (NN 假期)))))
我们友好的邻居分享他美味的食物	(S (NP (NP (PN 我们)) (JJ 友好) (DEC 的) (NP (NN 邻居))) (VP (VV 分享) (NP-OBJ (NP (PN 他)) (JJ 美味) (DEC 的) (NP (NN 食物)))))
他们热情的教练训练年轻的团队	(S (NP (NP (PN 他们)) (JJ 热情) (DEC 的) (NP (NN 教练))) (VP (VV 训练) (NP-OBJ (JJ 年轻) (DEC 的) (NP (NN 团队)))))
当地社区支持我们的筹款活动	(S (NP (NN 当地) (NN 社区)) (VP (VV 支持) (NP-OBJ (DNP (NP (PN 我们)) (DEG 的)) (NP (NN 筹款) (NN 活动)))))
她的父亲保护家人	(S (NP (DNP (PN 她) (DEG 的)) (NP (NN 父亲))) (VP (VV 保护) (NP-OBJ (NN 家人))))
城市的孩子接收免费的教育	(S (NP (DNP (NN 城市) (DEG 的)) (NP (NN 孩子))) (VP (VV 接收) (NP-OBJ (DNP (ADJP (JJ 免费)) (DEG 的)) (NP (NN 教育)))))
城市居民渴望安静的乡村生活	(S (NP (NN 城市) (NN 居民)) (VP (VV 渴望) (NP-OBJ (JJ 安静) (DEC 的) (NP (NN 乡村) (NN 生活)))))
大部分人尊敬这位伟大的领导者	(S (NP (QP (CD 大部分)) (NP (NN 人))) (VP (VV 尊敬) (NP-OBJ (DT 这位) (JJ 伟大) (DEC 的) (NP (NN 领导者)))))
我的朋友们珍惜我们的高中回忆	(S (NP (NP (DNP (NP (PN 我)) (DEG 的)) (NP (NN 朋友))) (NP (NN 们))) (VP (VV 珍惜) (NP-OBJ (DNP (NP (PN 我们)) (DEG 的)) (NP (NN 高中) (NN 回忆)))))
