demonstration	test_sentence	response
我老公一直在外地工作	也许我和他说过话但没在意	也许我和他说过在意
奶妈终于在微信上出现了	爸爸希望我在国内发展	爸爸希望我发展
这个地方在海边	你能接受什么价位的	接受什么价位的
男人跟女人的想法不同	原来账户的钱不够了	钱不够了
我已经不会为这些事情纠结了	你研究清白了跟我说	你研究清白跟我说
国内驾照只能在这里用一个月	那我去订位置看	那我去订
基本她没管家庭和小孩	你等等我到群里看她们还在不	你等等我到群里看
我上次摸过她孩子的屁股了	女孩子的都很漂亮	女都很漂亮
你是什么时候来	这样显的你不好	这样好
她姥姥在后面抱着	那我早上来图书馆跟你碰头好了	那我早上跟你碰头好了
你下午几点结束	我觉得这个很合理吧	我觉得
我就在电脑随便找了一张	大热天的你跟领导说说可以晚点来	你跟领导说说可以晚点来
同学之间没有那多客套	那女主一开始还是光头的	那女主是光头的
贪字头上一把刀	你觉得我性格里的最大缺点是什么	缺点是什么
我的意思是我不再是以前那么坏	你是不是有车老师的邮箱之类的	不是有车老师的邮箱之类的
我给你找个吧	我会和我同事分享的	我分享的
然后我去欧时力买了个外套	我那时候也有	我那时
消费者是大赢家	你端午去图书馆不	你端午去
我还在那家电力公司	我家的那个就是这样了	我家的
我明后天再给教练长打电话	但是我们不应该容忍侵略	但们不应该容忍侵略
你要根据我们模块上的接口来配置	我会跟他们讲明利害	我会明利害
样子和我小时候一模一样	你可能要比这个早吧	你可这个早吧
你联系一下我们销售经理	小孩子学东西快	小孩子学东
你雇了多少个人	他说你跟他联系了	他说你
