demonstration	demon_label
The metaphor of theater is not entirely coincidental	is not entirely coincidental
It arrived just as the regulator handling such operations was retiring	arrived just as the regulator handling such operations was retiring
The fund made a similar move earlier this year	made a similar move earlier this year
He softened the talk about a recession	softened the talk about a recession
Corporate bonds were unchanged	were unchanged
He had been vice president in that office	had been vice president in that office
Wall Street is understandably skeptical	is understandably skeptical
The senators responded in kind	responded in kind
The ultimate hope is that the technique could identify diseased vessels	is that the technique could identify diseased vessels
That may soon change	may soon change
They currently have large orders for cargo planes	They currently
Her new line of work has some perils	Her new line of work
But observers expect broad support	But observers
The metaphor of theater is not entirely coincidental	The metaphor of theater
Not everyone believes that the good times are over for shippers	Not everyone
It has happened before	It
But some saw it as a classic negotiating tactic	But some
They speak volumes about the state of our society at a given moment	They
The post had been vacant for more than a year	The post
The battle for customer loyalty is evident along the Cobb Parkway strip	The battle for customer loyalty
The state of New Hampshire has favored that plan	The state of New Hampshire has
Help may be on the way	Help may
Analysts expect others to show a similar pattern	Analysts expect others to
Ski promotions have traditionally avoided the touchy issue of safety	Ski promotions have traditionally
She bursts into tears and walks away	She and walks away
Strategists should consider the impact of budget uncertainties at the beginning of the planning process	Strategists should
Three gambling casinos have opened in Poland	Three gambling casinos have
But Trelleborg still must clear some tough hurdles	But Trelleborg still must
Radio programs and books have followed the daily television show	Radio programs and books have
The Russians are talking peace	The Russians are
New telephone lines posted healthy growth	New telephone lines posted
Maybe it was their peculiar sense of history	Maybe it was
They did me some good	They did some good
The accord expired yesterday	The accord expired
It is also planning another night of original series	It is also planning
All along they have been noting the tremors and pointing out the underlying realities	All along they have been noting and pointing out the underlying realities
The two are also signing a trade agreement	The two are also signing
Conversation was subdued as most patrons watched the latest market statistics on television	Conversation was subdued as most patrons watched on television
Most expect the decline in New York stock prices to continue this week	Most expect the decline in New York stock prices to continue
It arrived just as the regulator handling such operations was retiring	It arrived just as the regulator handling was retiring
Lawmakers in both houses support the higher level	in both houses support the higher level
Both executives left the company after clashes with Chairman Ralph Ingersoll Jr	Both executives left the company after with Chairman Ralph Ingersoll Jr
But the lack of lines became painfully apparent	But of lines became painfully apparent
This is partly due to the particular demands of the crop	This is partly due to of the crop
Reasons for the collapse of the Nimitz Freeway were sketchy yesterday	Reasons for of the Nimitz Freeway were sketchy yesterday
The fallout for investors lately has been painful	for investors lately has been painful
The two sides also traded accusations about the cost of the Packwood plan	The two sides also traded accusations about of the Packwood plan
Our teachers are not an important factor in our educational crisis	Our teachers are not in our educational crisis
All of the bidders contemplate full payment including interest to secured creditors	All of the bidders contemplate including interest to secured creditors
