sentence	parsed
His enthusiasm died of a price sight	(S (NP (PRP$ His) (NN enthusiasm)) (VP (VBD died) (PP (IN of) (NP (DT a) (NN price) (NN sight)))))
The construction happened on giant economy	(S (NP (DT The) (NN construction)) (VP (VBD happened) (PP (IN on) (NP (JJ giant) (NN economy)))))
His chance lived in a light radio	(S (NP (PRP$ His) (NN chance)) (VP (VBD lived) (PP (IN in) (NP (DT a) (JJ light) (NN radio)))))
Most data live in steep data	(S (NP (JJS Most) (NNS data)) (VP (VBP live) (PP (IN in) (NP (JJ steep) (NNS data)))))
The opening funds sat on the bid	(S (NP (DT The) (NN opening) (NNS funds)) (VP (VBD sat) (PP (IN on) (NP (DT the) (NN bid)))))
The common effort looked at the trading	(S (NP (DT The) (JJ common) (NN effort)) (VP (VBD looked) (PP (IN at) (NP (DT the) (NN trading)))))
A disappointing recognition happened on their session week	(S (NP (DT A) (JJ disappointing) (NN recognition)) (VP (VBD happened) (PP (IN on) (NP (PRP$ their) (NN session) (NN week)))))
A unexplained niche appeared in the high argument meat	(S (NP (DT A) (JJ unexplained) (NN niche)) (VP (VBD appeared) (PP (IN in) (NP (DT the) (NP (JJ high) (NN argument)) (NN meat)))))
The cultures look at the substantial reason	(S (NP (DT The) (NNS cultures)) (VP (VBP look) (PP (IN at) (NP (DT the) (JJ substantial) (NN reason)))))
The budget rests on the global telephone	(S (NP (DT The) (NN budget)) (VP (VBZ rests) (PP (IN on) (NP (DT the) (JJ global) (NN telephone)))))
A activity walks towards the slowing year	(S (NP (DT A) (NN activity)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (VBG slowing) (NN year)))))
The obvious summer lies on the retrieval	(S (NP (DT The) (JJ obvious) (NN summer)) (VP (VBZ lies) (PP (IN on) (NP (DT the) (NN retrieval)))))
A year hangs at his urgency	(S (NP (DT A) (NN year)) (VP (VBZ hangs) (PP (IN at) (NP (PRP$ his) (NN urgency)))))
The thin banks lie in the new industry	(S (NP (DT The) (JJ thin) (NNS banks)) (VP (VBP lie) (PP (IN in) (NP (DT the) (JJ new) (NN industry)))))
Windy sales live in the sleepy hallmark	(S (NP (JJ Windy) (NNS sales)) (VP (VBP live) (PP (IN in) (NP (DT the) (JJ sleepy) (NN hallmark)))))
The source business points to the best deficiency	(S (NP (DT The) (NN source) (NN business)) (VP (VBZ points) (PP (IN to) (NP (DT the) (JJS best) (NN deficiency)))))
The similar house stays on the rich culture	(S (NP (DT The) (JJ similar) (NN house)) (VP (VBZ stays) (PP (IN on) (NP (DT the) (JJ rich) (NN culture)))))
The same furor walks towards the mail loss	(S (NP (DT The) (JJ same) (NN furor)) (VP (VBZ walks) (PP (IN towards) (NP (DT the) (NN mail) (NN loss)))))
The touchy machines sat at the process business	(S (NP (DT The) (JJ touchy) (NNS machines)) (VP (VBD sat) (PP (IN at) (NP (DT the) (NN process) (NN business)))))
The several company died from a great space	(S (NP (DT The) (JJ several) (NN company)) (VP (VBD died) (PP (IN from) (NP (DT a) (JJ great) (NN space)))))
His facts lie on the alert war	(S (NP (PRP$ His) (NNS facts)) (VP (VBP lie) (PP (IN on) (NP (DT the) (JJ alert) (NN war)))))
The similar portfolio lies in the high touchdown	(S (NP (DT The) (JJ similar) (NN portfolio)) (VP (VBZ lies) (PP (IN in) (NP (DT the) (JJ high) (NN touchdown)))))
The real panic points to an renewed mistrust	(S (NP (DT The) (JJ real) (NN panic)) (VP (VBZ points) (PP (IN to) (NP (DT an) (VBN renewed) (NN mistrust)))))
The several demand stays in the consecutive industry	(S (NP (DT The) (JJ several) (NN demand)) (VP (VBZ stays) (PP (IN in) (NP (DT the) (JJ consecutive) (NN industry)))))
