demonstration	test_sentence	response
Marketing and sales departments then urged abandonment of the pico project	The education establishment will fight against common sense every inch of the way	fail to follow
He sandwiched his praise of constitutional meat between large loaves of bilious commentary	It is a quick fix for a complex problem	it is a quick fix for a problem
They long made little effort here	Their discomfort is a healthy sign for the rest of us	their discomfort is a sign
Ashland expects that sale to be complete next year	The British conglomerate cited the recent turmoil in financial markets	the conglomerate cited turmoil
It has some of the highest costs in the league	Hanson is a London producer of consumer and other goods	hanson is
It was the smallest monthly increase in a year	The collapse of the span has provoked surprise and anger among state officials	the collapse has
The company is facing a takeover proposal from the financier Sir James Goldsmith	American institutional investors have never had a large appetite for Japanese equities	american investors have
It is a peaceful time in this part of western India	He previously held similar responsibilities	he held responsibilities
The deal would require approval by a majority of Jaguar shareholders	The Fed has assumed a similar responsibility in the market for government securities	the fed has
But violation could bring substantial tax penalties to both employer and employees	The finance unit attributed the decline to higher borrowing costs compared with a year earlier	the finance unit costs compared with a year earlier
Civil suits against planners by clients seeking recovery of funds are increasingly common	Sonja Steptoe and David Wilson contributed to this article	sonja steptoe and david wilson contributed
More carefully targeted intervention might actually reduce the need for government action	Frequent trading runs up high commission costs	frequent trading runs up
The laws take effect next month	Their problem is one of inefficiency of an industrial economy	their problem is one
Estimated volume was a very light one million ounces	Advertisers attribute this shared loyalty to the striking similarity among brands	advertisers attribute this
Sun posted a gain	The problem here is not in the concept but in its lack of discrimination	the problem
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Prices closed mixed as contracts reacted to largely offsetting bullish and bearish news	prices closed mixed as
The mining zone has thus remained one of the most desolate places in Africa	Other major players in intimate apparel apparently feel the same way	other major players
And they are a very odd team in any case	The fund made a similar move earlier this year	the fund earlier this year
Such armor crushes the soldier	These revised figures also may explain some of the recent strength of the dollar	these revised figures
Poland makes no machinery for a plant on that scale	The completion of the merger agreement follows months of twists and turns	the completion
But a few funds have taken other defensive steps	Van Nghe quickly made influential enemies	van nghe quickly made
Radio programs and books have followed the daily television show	The appointments are part of a planned succession at the company	the appointments are part of
It also inevitably leaves a residue of shareholder lawsuits	One such company is Bankers Trust Co	one such company is
That structural lack is crucial because investors are the only source of market liquidity	Developers are also eyeing the real estate portfolios of major corporations	developers are also eyeing the real estate portfolios of
