demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
成人比赛全是业余的	成人比赛全是	业余的	NP-D4-N2	VP-D3-N3	我可以付你路费	我可以付你	路费	5	NP-D4-N2	VP-D3-N2
我没那么大勇气	我没勇气	那么大	ADJP-D4-N0	NP-D3-N2	梵西不适合小小朋友去的	梵西不适合朋友去的	小小	5	ADJP-D7-N0	NP-D6-N0
我比你更不努力	我更不努力	比你	PP-D3-N1	VP-D2-N1	我给你发功了	我发功了	给你	1	PP-D3-N1	VP-D2-N1
我下周也好不了	我也好不了	下周	DP-D3-N1	VP-D2-N1	你什么时候打的电话	你时候打的电话	什么	1	DP-D4-N0	VP-D2-N1
我可烦俺公公了	我可烦了	俺公公	NP-D4-N2	VP-D3-N2	这是个永恒的矛盾	这是	个永恒的矛盾	2	NP-D3-N2	VP-D2-N1
我是说每个女人的心中的标准不同	我是说标准不同	每个女人的心中的	DNP-D6-N0	NP-D5-N0	你的语文是不是很差	语文是不是很差	你的	0	DNP-D3-N0	NP-D2-N0
那你现在一个月的收入大概是多少	那你现在月的收入大概是多少	一个	QP-D5-N0	NP-D4-N2	那些几百几百的又不好看	那些的又不好看	几百几百	2	QP-D5-N0	NP-D3-N1
我会和我同事分享的	我会和分享的	我同事	NP-D6-N1	PP-D5-N0	孩子躺在母亲的臂弯里	孩子躺在里	母亲的臂弯	4	NP-D5-N0	PP-D3-N2
雇主雇员应订定暴雨下工作守则	雇主雇员应订定	暴雨下工作守则	NP-D4-N1	VP-D3-N3	我没用电压力锅给她做过	我没用给她做过	电压力锅	3	NP-D4-N2	VP-D2-N1
他远程指挥他们的人	他远程指挥人	他们的	DNP-D5-N0	NP-D4-N2	英文的是我暑假一直在教	是我暑假一直在教	英文的	0	DNP-D3-N0	NP-D2-N0
友情是体系外额外的东西	友情是额外的东西	体系外	LCP-D4-N0	NP-D3-N2	刚才手机上的没收到	刚才的没收到	手机上	2	LCP-D4-N0	NP-D2-N1
咱原来的格式里用保存人	咱里用保存人	原来的格式	NP-D4-N0	LCP-D3-N1	服务器上的电子病历还老报错	上的电子病历还老报错	服务器	0	NP-D5-N0	LCP-D4-N0
最好我们以后能在一个编辑室	最好我们以后能在编辑室	一个	QP-D6-N0	NP-D5-N1	改革开放不止一条路	改革开放不止路	一条	6	QP-D4-N0	NP-D3-N3
我还在那家电力公司	我还在电力公司	那家	DP-D5-N0	NP-D4-N2	那个是所有的	那个是的	所有	3	DP-D5-N0	NP-D3-N2
其实这次机会挺好的	其实机会挺好的	这次	DP-D4-N1	NP-D3-N1	我们现在客户需要这类的图书	我们现在客户需要的图书	这类	8	DP-D5-N0	NP-D3-N4
我可能是周六早到	我可能是到	周六早	NP-D5-N0	VP-D4-N2	我是真心希望你们好好的	我是真心希望好好的	你们	6	NP-D7-N0	VP-D5-N1
我都没你们电话	我都没	你们电话	NP-D4-N2	VP-D3-N2	但我每天都会关注你的签名	但我每天都会关注	你的签名	8	NP-D5-N2	VP-D4-N4
我们再去群里忽悠一下	我们再去忽悠一下	群里	LCP-D5-N1	VP-D4-N1	我是在我的基础上改的	我是在改的	我的基础上	3	LCP-D6-N1	VP-D4-N2
他们刚开会酒店分析会	他们刚开会	酒店分析会	NP-D4-N2	VP-D3-N2	我更是门外汉	我更是	门外汉	3	NP-D4-N2	VP-D3-N2
这一季我都没追全	这我都没追全	一季	QP-D3-N1	DP-D2-N0	他们这几天可能去我小姨那里了	他们这可能去我小姨那里了	几天	3	QP-D4-N1	DP-D3-N1
这个是耳鼻喉科的手术申请单	这个是的手术申请单	耳鼻喉科	NP-D6-N0	DNP-D5-N0	下面这家的蛮好看	这家的蛮好看	下面	0	NP-D5-N0	DNP-D3-N0
你看我的签名	你看	我的签名	NP-D3-N2	VP-D2-N1	老板也成为职业了	老板也成为了	职业	5	NP-D4-N2	VP-D3-N2
我都去了好几次了	我都去了了	好几次	QP-D4-N3	VP-D3-N2	里面有一个工具可以打开串口的吧	里面有工具可以打开串口的吧	一个	3	QP-D7-N0	VP-D4-N1
你的彩虹要求太宽了	彩虹要求太宽了	你的	DNP-D3-N0	NP-D2-N0	我去了膜拜一下你们的教材	我去了膜拜一下教材	你们的	7	DNP-D5-N1	NP-D4-N4
雨巷是总结过去的一种感情	雨巷是总结一种感情	过去的	DNP-D5-N0	NP-D4-N1	要是晚上的那种我是能参加的	要是那种我是能参加的	晚上的	2	DNP-D5-N1	NP-D4-N1
我再给他打个电话问问你	我再打个电话问问你	给他	PP-D3-N2	VP-D2-N1	我当时还跟他讲过的	我当时还讲过的	跟他	4	PP-D4-N3	VP-D3-N1
我还在办公室苦守	我还苦守	在办公室	PP-D3-N2	VP-D2-N1	然后大家都对她肚子感兴趣	然后大家都感兴趣	对她肚子	5	PP-D3-N3	VP-D2-N2
我也要试试这个机构才行	我也要试试才行	这个机构	NP-D6-N1	VP-D5-N2	我现在出去修手机	我出去修手机	现在	1	NP-D3-N1	VP-D2-N1
我们系上暑期会有个访问学者过来	上暑期会有个访问学者过来	我们系	NP-D3-N0	LCP-D2-N0	每个人心中的比例不同	每个中的比例不同	人心	2	NP-D5-N1	LCP-D4-N2
我等下写个大概数给你发过去	我等下写给你发过去	个大概数	NP-D5-N1	VP-D4-N1	我先自己再改改	我先再改改	自己	2	NP-D3-N2	VP-D2-N1
十月一日为法定假日	十月一日为	法定假日	NP-D3-N3	VP-D2-N1	你平时怎么吃饭	你怎么吃饭	平时	1	NP-D3-N1	VP-D2-N1
我自己减少了和他们的交往	我自己减少了的交往	和他们	PP-D5-N0	DNP-D4-N0	然后他们对旅馆的需求不算大吧	然后他们的需求不算大吧	对旅馆	4	PP-D5-N1	DNP-D4-N2
我肯定是每天晚上	我肯定是	每天晚上	NP-D4-N2	VP-D3-N2	那要有毅力撒	那要有撒	毅力	3	NP-D5-N1	VP-D4-N2
我想一下午了	我想了	一下午	NP-D3-N2	VP-D2-N1	我周日走	我走	周日	1	NP-D3-N1	VP-D2-N1
那我们就去跟他们会合	那我们就去会合	跟他们	PP-D5-N0	VP-D4-N2	但是我在别的地方做	但是我做	在别的地方	3	PP-D3-N2	VP-D2-N2
他教刑事司法系统的	他教的	刑事司法系统	NP-D4-N2	VP-D3-N1	我在写材料	我在写	材料	3	NP-D4-N2	VP-D3-N2
原来你是个诗人	原来你是	个诗人	NP-D3-N3	VP-D2-N2	聊天也可以提高记忆力	聊天也可以提高	记忆力	7	NP-D5-N1	VP-D4-N2
我们明天跟你的情况一样	我们明天一样	跟你的情况	PP-D3-N2	VP-D2-N1	晚上我跟老师联系	晚上我联系	跟老师	3	PP-D3-N2	VP-D2-N2
我上次摸过她孩子的屁股了	我上次摸过了	她孩子的屁股	NP-D4-N4	VP-D3-N2	我是有原因的	我是有的	原因	3	NP-D5-N1	VP-D4-N2
啥叫康乐消费	啥叫	康乐消费	NP-D3-N2	VP-D2-N1	我们周二晚上还有女生节晚会	我们还有女生节晚会	周二晚上	2	NP-D3-N1	VP-D2-N1
我找找他的照片	我找找	他的照片	NP-D3-N2	VP-D2-N1	你跟他们说我们有瓶他们就给换了	你跟说我们有瓶他们就给换了	他们	2	NP-D5-N1	VP-D3-N1
我在看看电影在办公室	我在看看电影	在办公室	PP-D4-N3	VP-D3-N2	外交要以国家民族利益为要	外交要为要	以国家民族利益	3	PP-D4-N0	VP-D3-N2
我查了那是个退税公司	我查了那是	个退税公司	NP-D4-N5	VP-D3-N3	你可以加我人人	你可以加	我人人	4	NP-D4-N1	VP-D3-N2
你的那款不能	那款不能	你的	DNP-D3-N0	NP-D2-N0	这是同学的婚纱	这是婚纱	同学的	2	DNP-D4-N0	NP-D3-N2
我在等最新的电池了	我在等电池了	最新的	DNP-D5-N0	NP-D4-N2	各有各的好吧	各有好吧	各的	2	DNP-D5-N0	NP-D4-N2
以后在家时间也不会多	以后时间也不会多	在家	PP-D3-N1	NP-D2-N1	为狗爬出的洞敞开着	的洞敞开着	为狗爬出	0	PP-D4-N0	NP-D2-N0
也许我和他说过话但没在意	也许我说过话但没在意	和他	PP-D4-N0	VP-D3-N2	我跟着你走	我走	跟着你	1	PP-D3-N1	VP-D2-N1
你去接触个新人嘛	你去接触嘛	个新人	NP-D5-N1	VP-D4-N2	我之前有认识另外一位医生	我之前有认识	另外一位医生	6	NP-D5-N1	VP-D4-N2
这是原版的	这是	原版的	NP-D3-N2	VP-D2-N1	我问了硬件	我问了	硬件	3	NP-D3-N3	VP-D2-N1
这个是耳鼻喉科的手术申请单	这个是	耳鼻喉科的手术申请单	NP-D3-N2	VP-D2-N1	后面那个是经典	后面那个是	经典	5	NP-D3-N3	VP-D2-N1
