original	label	prediction
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points to
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The old map points to a hidden treasure	the old map points to a hidden treasure	the old map points
The great artist died from a serious illness	the great artist died from a serious illness	the great artist died
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks at
The accident happened on Saturday night	The accident happened on	fail to follow
A picture hangs at his study	a picture hangs at his study	a picture hangs
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
His family lived in an old farmhouse	His family lived in	his family lived
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
The rare artifact stays in the secured vault	the rare artifact stays in the secured vault	the rare artifact stays
The story begins in a small town	the story begins in a small town	the story begins
The students look at the complex equation	the students look at the complex equation	the students look at
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
His glasses lie on the bedside table	his glasses lie on the bedside table	his glasses lie
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The thick essay lies on the shelf	the thick essay lies on the shelf	the thick essay lies
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
The students look at the complex equation	the students look at the complex equation	the students look at
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The fragile vase stays on the top shelf	the fragile vase stays on the top shelf	the fragile vase stays
