demonstration	demon_label	test_sentence	response	attachment	structure
The architect designed the building	The architect designed	The police investigated the house with a garden	the police investigated	pp	structure_1
The alley of the town fascinated art lovers	The alley of the town fascinated art lovers	The criminal of the gang that had a long scar disappeared last Monday	fail to follow	adjunct	structure_2
The collection of the store fascinated the students	The collection of fascinated the students	The inventor of the machine that had the goatee was amazing	fail to follow	adjunct	structure_2
The house of the painter looked odd	The house of looked odd	The church of the bishop that had the funny eyebrows looked odd	the church of that had the funny eyebrows looked odd	adjunct	structure_1
The detective solved the mystery	The detective solved	Bill cut the paper with a very sharp knife	bill cut	pp	structure_2
The lake of the area enchanted the swimmers	The lake of enchanted the swimmers	The painter of the house that had the small windows looked odd	the painter of the house looked odd	adjunct	structure_1
The musician tuned the guitar	The musician tuned	Queen Elizabeth II ate the cake with a red rose	queen elizabeth ii ate with a red rose	pp	structure_1
The park of the city delighted the children	The park of delighted the children	The thesis of the editor that had the big nose made a lot of sense	fail to follow	adjunct	structure_1
The student solved the equation	The student solved	The doctor noticed the boy using big headphones	the doctor noticed	pp	structure_1
The song of the player is really popular	The song of is really popular	The valley of the flowers that had the old castle excited the tourists	the valley of that had excited the tourists	adjunct	structure_2
The orchard of the farm tempted the foodies	The orchard of tempted the foodies	The writer of the letter that had blonde hair arrived this morning	the writer of arrived this morning	adjunct	structure_2
The photographer of the exhibition sold his favorite piece	The photographer of sold his favorite piece	The singer of the song that had long eyelashes was very smart	fail to follow	adjunct	structure_2
The journalist reported the news	The journalist reported	Van Gogh drew the paintings with starry night	van gogh drew	pp	structure_1
The baker baked the cake	The baker baked	The guy caught the rat with a scar	the guy caught	pp	structure_1
The pilot flew the airplane	The pilot flew	The basketball player won the game with his team	the basketball player won	pp	structure_2
The fisherman caught the trout	The fisherman caught	Michelle watched the movie with her boyfriend	michelle watched	pp	structure_2
The market of the city attracted the collectors	The market of attracted the collectors	The car of the driver that had the moustache was pretty cool	the car of was pretty cool	adjunct	structure_1
The dancer of the troupe dazzled the audience	The dancer of dazzled the audience	The miner of the gold that had the impurities was worthless	the miner of worthless	adjunct	structure_1
The bird sang a melody	The bird sang	the cook made the meal with a Chinese cleaver	the cook made the meal	pp	structure_2
The manager of the factory was efficient	The manager of was efficient	The chef of the restaurant that had the blue tiles pleased us	the chef of that had the blue tiles pleased us	adjunct	structure_1
The carpenter built the house	The carpenter built	Charles runs a photo studio with two floors	charles runs a photo studio	pp	structure_1
The mechanic fixed the engine	The mechanic fixed	Dan entered the room with a key	dan entered the room	pp	structure_2
The festival of the village entertained the guests	The festival of entertained the guests	The drugs of the supplier that had a nasty effect hurt everyone	the drugs of hurt everyone	adjunct	structure_2
The dancer performed the routine	The dancer performed	The professor challenged the students with his projects	the professor challenged the students	pp	structure_2
