demon	d_label	d_deleted	d_node	d_parent	test	t_label	t_deleted	start	t_node	t_parent
He has too readily swallowed the case for the activist law school culture	He has too readily swallowed the case for	the activist law school culture	NP-D5-N3	PP-D4-N3	The bank is now aggressively marketing retail services at its domestic branches	The bank is now aggressively marketing retail services at	its domestic branches	9	NP-D4-N4	PP-D3-N4
These securities are attractive to Japanese investors for three reasons	These securities are attractive to Japanese investors	for three reasons	PP-D2-N4	VP-D1-N1	He had been president of the international operations	He had been president	of the international operations	4	PP-D4-N1	VP-D2-N2
Florida National said yesterday that it remains committed to the merger	Florida National said yesterday that it remains	committed to the merger	ADJP-D5-N2	VP-D4-N1	This pattern was particularly evident among more highly educated couples	This pattern was among more highly educated couples	particularly evident	3	ADJP-D2-N3	VP-D1-N1
The dollar weakened against most other major currencies	The dollar weakened against	most other major currencies	NP-D3-N1	PP-D2-N3	Some are even coming up with their own novel designs	Some are even coming up with	their own novel designs	6	NP-D4-N2	PP-D3-N3
Solidarity wants it from the West	Solidarity wants it from	the West	NP-D3-N2	PP-D2-N3	The thrift and the holders had suspended their lawsuits as part of the agreement	The thrift and the holders had suspended their lawsuits as	part of the agreement	10	NP-D4-N3	PP-D3-N6
Many resorts also are focusing more on the service side of their business	Many resorts also are focusing more	on the service side of their business	PP-D3-N2	VP-D2-N4	The election was by secret ballot in the General Assembly	The election was	by secret ballot in the General Assembly	3	PP-D2-N3	VP-D1-N1
They will be the next hot magazines	They will be	the next hot magazines	NP-D3-N1	VP-D2-N2	Mazda makes the Tracer for Ford	Mazda makes for Ford	the Tracer	2	NP-D2-N2	VP-D1-N1
The investors range from elderly widows to affluent professionals	The investors range from elderly widows to	affluent professionals	NP-D4-N3	PP-D3-N1	The stock market reacted strongly to the news	The stock market reacted strongly to	the news	6	NP-D3-N2	PP-D2-N5
He will remain on the Banc One board	He will remain	on the Banc One board	PP-D3-N1	VP-D2-N2	He reset opening arguments for today	He reset opening arguments	for today	4	PP-D2-N3	VP-D1-N1
Simpson is an auto parts maker	Simpson is	an auto parts maker	NP-D2-N2	VP-D1-N1	For months the resistance has been defenseless against air attack	For months the resistance has been defenseless against	air attack	8	NP-D5-N1	VP-D2-N5
The woman won the bet	The woman won	the bet	NP-D2-N3	VP-D1-N1	Repeat customers also can purchase luxury items at reduced prices	Repeat customers also can purchase at reduced prices	luxury items	5	NP-D3-N1	VP-D2-N4
The laws take effect next month	The laws take effect	next month	NP-D2-N4	VP-D1-N1	Whittle has met some resistance	Whittle has met	some resistance	3	NP-D3-N1	VP-D2-N2
