demonstration	test_sentence	response
The recent sharp stock market decline exacerbated those concerns	Farmers lay down before the bulldozers	fail to follow
The engine plant may encompass plans for a joint components venture with Jaguar	Continental Airlines is a unit of Texas Air Corp	continental airlines is a unit
He hit the lanes three years ago on the advice of his doctor	The market is still very touchy about rumors and news on pending takeovers	the market is still touchy about rumors and news on pending takeovers
The team then proposed modifications in their work process to management	Institutional investors mostly remained on the sidelines Tuesday	investors mostly remained on the sidelines tuesday
But even a little appeal has a lot of attraction these days	Yet he has proved more resilient than any of them	yet he has proved more resilient than them
That means huge travel bills	He was back in jail over the summer on shoplifting charges	he was back in jail
Its previous proposal had conditioned rate limits on Seabrook operations and other contingencies	Still the Salinger decision created a strong presumption against fair use of unpublished materials	still the salinger decision created a strong presumption against fair use
It arrived just as the regulator handling such operations was retiring	Now there are many cars for every purse and purpose	fail to follow
These big stocks greatly influence the Nasdaq Composite Index	Traders can vary their strategies and execute their orders in any one of them	traders can vary their strategies and execute their orders
Employees wore identification badges listing not only their names but also their dates of hire	Investors and analysts applauded the news	investors and analysts applauded
He had been associate professor in the department of finance at Seton Hall University	That figure has been inching up for several years	that figure has been
Some industry groups consistently weather the storm better than others	This phenomenon often makes stock prices swing wildly at the end of the trading session	fail to follow
He had been associate professor in the department of finance at Seton Hall University	Civil suits against planners by clients seeking recovery of funds are increasingly common	fail to follow
It also licenses optically based data storage and retrieval devices	The West Germans then took over and finally found Markus Hess	the west germans then took over
Developers are also eyeing the real estate portfolios of major corporations	Logic plays a minimal role here	minimal role here
The dispute was the subject of a Wall Street Journal article in August	The company is active in office and residential development in New York	the company is
Analysts expect others to show a similar pattern	Japanese companies have a caveat competitor attitude	fail to follow
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	Abortion via the pill is far more of an ordeal than conventional surgical abortion	fail to follow
Now it is their fellow Turks arriving as refugees from Bulgaria	We were out of the box	out of the box
The team then proposed modifications in their work process to management	He said that the research team had no financial stake in the drug	he said the research team had no stake in the drug
Both the Peasants and Rural Solidarity are forming new political parties for farmers	it defended appropriate constitutional safeguards and practical common sense	it defended
The team then proposed modifications in their work process to management	The relative calm in Tokyo proved little comfort to markets opening up in Europe	fail to follow
Wang had previously forecast a loss	Civil suits against planners by clients seeking recovery of funds are increasingly common	civil suits against planners by clients seeking recovery of funds are increasingly
The two are also signing a trade agreement	The Pentagon foiled the plan	fail to follow
