demon	d_deleted	test	t_deleted	start
这是你们的考验	你们的考验	我倒是没有考虑过这个问题	这个问题	8
你还有喜剧天赋了列	喜剧天赋	你要是个男的就好了	个男的	3
我去年一年没有存到钱哦	去年一年	你有什么经验没	什么经验	2
现在这里早上十点半	早上十点半	这是我的微博	我的微博	2
我跟我同事一起弄她的店	她的店	那门课的成绩就是专四成绩	专四成绩	8
洋插队是什么意思	什么意思	我现在都没个方向	个方向	5
我也是去看看学校和环境的	学校和环境	我下周二就走了	下周二	1
我要打造巨星品牌	巨星品牌	我还得赶点东西	点东西	4
会员分散啥意思	啥意思	这个要熊猫的那个	熊猫的那个	3
额我不是这个意思哦	这个意思	我跟我同事一起弄她的店	她的店	8
我可能是周六早到	周六早	你就说我给你的电话号码	电话号码	7
我刚去看了一下所谓的米和油	所谓的米和油	动车多少钱	多少钱	2
其他的外国人都是同事同学	同事同学	基本她没管家庭和小孩	家庭和小孩	5
现在我只加了电子病历的	电子病历的	我是说手机信息	手机信息	3
我这边没装远程软件	远程软件	他们家也有十字绣的	十字绣的	5
你问问销售的价格	销售的价格	但是房子里还有一个房间	一个房间	7
你是不是有车老师的邮箱之类的	车老师的邮箱之类的	哎你传给我好了可能数据有点问题	点问题	12
法官属于活跃分子呢	活跃分子	俺们这边游击队野战军自己折腾	游击队野战军	4
好汉不提当年勇	当年勇	欧元促进电子商务发展	电子商务发展	4
你看我身边的老乡	我身边的老乡	他知道这个事	这个事	3
这是你们的考验	你们的考验	那里有没有华人同事	华人同事	5
你操那心呢	那心	忠厚保持到生命最后一刻	生命最后一刻	5
我觉的她应该有这个想法	这个想法	我们这里要调试大屏幕用的	大屏幕	7
你总是能看到营销的本质	营销的本质	我就开了个台球厅和一个网络公司	个台球厅和一个网络公司	4
他不管这些子事	这些子事	那你俩照什么主题	什么主题	4
你找我就问这事啊	这事	这都不是我的号我换手机号了	我的号	4
最好我们以后能在一个编辑室	一个编辑室	我搬新家了	新家	2
我就见过好几个这样的人	好几个这样的人	你几几年的啊	几几年的	1
会员分散啥意思	啥意思	他是纯爷们	纯爷们	2
你该找个妹子了	个妹子	官方就需要这样的代表	这样的代表	5
他们没有经济来源吗	经济来源	成人比赛全是业余的	业余的	6
我最近就只看了她家的	她家的	徒弟只能做到这个程度	这个程度	6
我最近就只看了她家的	她家的	他不管这些子事	这些子事	3
你能来我办公室不	我办公室	社会主义不止一条路	一条路	6
你受不了那种日子的	那种日子	你是骨科的吗	骨科的	2
以前你是时尚达人	时尚达人	人家是个大型连锁	个大型连锁	3
家里哪有什么事单位肯定事多啊	什么事	我在看下子房子的信息	房子的信息	5
你可以搜索一下他的文章什么的	他的文章什么的	其实穷也是一种幸福	一种幸福	5
那你寒假什么打算	什么打算	你入市了几多钱	几多钱	4
学校需要什么人	什么人	你得要多长时间	多长时间	3
桌面上就有个这个	个这个	我可能是周六早到	周六早	4
我们好像不能一趟车	一趟车	姐姐收到我的邮件了吗	我的邮件	4
也许你有你的难处	你的难处	你头像怎么是黑的	黑的	6
他不管这些子事	这些子事	那你还要寄送什么推荐信	什么推荐信	6
江山惨烂总高潮	总高潮	哎这伤心是一时的	一时的	5
哎我也是这个点起来的	这个点	因为我看她没什么兴趣	什么兴趣	6
我提供电子版的	电子版的	你有什么事情跟大人讲了啊	什么事情	2
我们住哪个酒店	哪个酒店	我还是原来的	原来的	3
要不然谁知道怎么回事	怎么回事	我现在也是这么教我丫头	我丫头	8
你认识新朋友没	新朋友	你那边应该就是保洁的了	保洁的	7
我还是坐周晨那儿	周晨那儿	也许你有你的难处	你的难处	4
人各有自己的生长规律和足迹	自己的生长规律和足迹	你什么时候填志愿啊	什么时候	1
咱们怎么个行程啊	怎么个行程	但是这个数是周五的股价	周五的股价	6
路由器在我这边	我这边	我倒是没有考虑过这个问题	这个问题	8
他们家也有十字绣的	十字绣的	你能接受什么价位的	什么价位的	4
你什么时候去	什么时候	那我这个星期不回去	这个星期	2
教师待遇太低是根本原因	根本原因	我哪有什么关系	什么关系	3
我七点钟有小组讨论了所以急死了	小组讨论	那个男生很有你当年的感觉	你当年的感觉	6
你男人已经把你当成私有财产了	私有财产	网上有房型图	房型图	3
你今天什么安排	什么安排	我这里是晚上八点	晚上八点	4
我没见过她老公	她老公	所以我才有其他想法	其他想法	5
我不再是以前的我	以前的我	我是大爷型的	大爷型的	2
咱没有那个本事跟着去学肯定不行	那个本事	哎我也是这个点起来的	这个点	4
还是你们在哪里再要一个孩子啊	一个孩子	你该找个妹子了	个妹子	3
你再看一次我的提问	我的提问	官方就需要这样的代表	这样的代表	5
我们也是学前班上了一个私立学校	一个私立学校	我也正在物色这方面的人才	这方面的人才	6
你是骨科的吗	骨科的	你是本科生还是研究生呢	本科生还是研究生	2
你的手套还在我这里	我这里	那我这个星期不回去	这个星期	2
你们都给我打低分	低分	这个啥意思	啥意思	2
男人不是女人的全部	女人的全部	那是男厕所	男厕所	2
我造个复印件还行	个复印件	你办个招行和广发的就行	个招行和广发的	2
这是个语气词啊	个语气词	我最近就只看了她家的	她家的	7
你那边现在几点	现在几点	个个都几十个学生	几十个学生	3
笨笨你什么时候放假啊	什么时候	哎我也是这个点起来的	这个点	4
我要打造巨星品牌	巨星品牌	那我这个星期不回去	这个星期	2
关键是铁饭碗刮不出多少金子来啊	多少金子	你是我的初恋	我的初恋	2
我还是原来的	原来的	我当你推荐人啊	你推荐人	2
他们家也有十字绣的	十字绣的	你还有喜剧天赋了列	喜剧天赋	3
外部压力是内部调整的机遇	内部调整的机遇	我明天早上有事列	明天早上	1
只是个人没什么好处	什么好处	那你就吃点饭打发一下时间嘛	点饭	4
她前一段时间在幼儿园打工	前一段时间	你们是现代版的爱情神话	现代版的爱情神话	3
我之前有认识另外一位医生	另外一位医生	你不来交啥钱呀	啥钱	4
我查下这里的时间	这里的时间	这样的说法也震动了我们那个政府	我们那个政府	9
你那个专业啊	那个专业	我和你一个年纪了	一个年纪	3
对男生你有什么期望呢	什么期望	这是互相的	互相的	2
友情是体系外额外的东西	体系外额外的东西	最多你是多买一个保险	一个保险	6
教师待遇太低是根本原因	根本原因	你啥米专业	啥米专业	1
化疗很伤害正常就细胞	正常就细胞	我有新衣服	新衣服	2
这样的说法也震动了我们那个政府	我们那个政府	你这年纪轻轻滴失眠个什么撒	个什么	9
关键是铁饭碗刮不出多少金子来啊	多少金子	这是一这是原则问题	原则问题	5
我也要试试这个机构才行	这个机构	他加入他们群了	他们群	3
我睡了一觉醒了	一觉	我跟隔壁的用的一根网线	一根网线	7
送礼也是个技术活	个技术活	小女孩你昨天去思考什么人生了	什么人生	9
我先洗把脸你忙会儿	把脸	我是大爷型的	大爷型的	2
哎这伤心是一时的	一时的	主专业不是我们学院就是学校的	我们学院	5
那你就吃点饭打发一下时间嘛	点饭	原来你是个诗人	个诗人	4
我也要试试这个机构才行	这个机构	他也是四个月暑假啊	四个月暑假	3
你啥米专业	啥米专业	最多你是多买一个保险	一个保险	6
各有各的好吧	各的好	这就是贫富差距的显现	贫富差距的显现	3
我觉的她应该有这个想法	这个想法	我就开了个台球厅和一个网络公司	个台球厅和一个网络公司	4
你有活干了小会计	小会计	我都得耻骨联合分离症了	耻骨联合分离症	3
时间一定要这个时候吗	这个时候	我觉的她应该有这个想法	这个想法	7
我想一下午了	一下午	他们没有经济来源吗	经济来源	4
那是你一辈子的事耶	你一辈子的事	你们拓展是不是有那种攀岩啊	那种攀岩	8
要不我还是周三周五去吧	周三周五	他们也是这个时间	这个时间	4
你有铁饭碗就好好珍惜吧	铁饭碗	她也是放弃了孩子的上课	孩子的上课	6
她不太在乎这样的我为此我也失落	这样的我	我们做弱电系统	弱电系统	3
我有你的啊	你的	他应该没多久假期吧	多久假期	4
我这边没装远程软件	远程软件	我也就这消费水平	这消费水平	3
我有你的啊	你的	我在网上查不到什么资料啊	什么资料	7
排名啥时出啊	啥时	你什么时候填志愿啊	什么时候	1
龙没有特价票	特价票	动车多少钱	多少钱	2
祖上多少代都没这基因	这基因	送礼也是个技术活	个技术活	4
你什么时候打的电话	什么时候	我就是那时候开始学习医学常识	那时候	3
