demonstration	test_sentence	response
送礼也是个技术活	我可以说里面的狗可爱么	我可以说里面的狗
哎我今天中午也没睡觉	那我这个星期不回去	那我不回去
哦我们没有冬季工装	因为我这学期还不能做	因为我这学期还不能
他们说暑假真不像个暑假	那我明早一大早打吗	那我明早打吗
笨笨你什么时候放假啊	这周或下周我去社里	我去社里
你是说那个图片吗	恩那我们周一周二会不会不上课啊	恩那我们周一周二会不会不上啊
你们是现代版的爱情神话	自己处理点自己的事情	自己处理点
但是公司有营销策划部门	我一直放低自己的底线	我一直放低
你啥时来	这是同学的婚纱	这是婚纱
所以你换家医院看看不行吗	国内驾照只能在这里用一个月	国内驾照只能用一个月
你们是什么公司啊	咱们怎么个行程啊	咱们啊
因为我手机是白的	你在国外课题做的怎样了	你在国外课题做
你是骨科的吗	思八达是不是离你家很近	思八达是不是离你家
书记今天下午回来	你要是个男的就好了	你要是就好了
新科技服务老传统	你说你们这届的	你说你们
奶妈是不是切断了跟外界滴联系啊	我跟你同学一个组啊	我跟一个组啊
我的微博里好多照片	自己发自己的	自己发
我会吸取你们滴教训滴	网上有房型图	网上有
忍字头上一把刀啊	土地基金增强特区财政储备	土地基金增强
那是理想国	也许你有你的难处	也许你有
你发我邮箱	利民经常干这种事情的	利民经常干
那你就吃点饭打发一下时间嘛	我们公司在搞什么二十周年庆	我们公司在搞什么
那你喜欢什么样的	你昨儿个晚上又做贼去了	你昨儿个晚上又
你说模块上的接口吗	这个交通标识是什么意思	这个是什么意思
