demonstration	demon_label
这边是机考	是机考
晚上我跟老师联系	我跟老师联系
对转基因的议论真的很多	真的很多
班长说你保养最好	说你保养最好
你好爽啊	好爽啊
所以我又纠结了	所以又纠结了
你来是坐高铁还是飞过来	来是坐高铁还是飞过来
票买了吗	买了吗
你现在回家了么	现在回家了么
嫂子忙吗	忙吗
我每天都打得	我
变动还挺大	变动
那你就等明年	那你
我下采购单	我
呵呵那就好	呵呵那
所以我还有留恋	所以我
她说这个是屁股	她说这个
明天后天我都时间灵活	明天后天我都时间
昨天我删掉的	昨天我的
哦那就好	哦那
小兔子怎么样了	兔子怎么样了
现在好单位的正式工很难进哦	现在单位的正式工很难进哦
大龄剩男	剩男
那个小姑娘现在是学院的收银	那个姑娘现在是学院的收银
我买了挺多肉丸的	我买了肉丸的
你得要多长时间	你得要时间
那是旧社会	那是社会
娇娇子女的挑战	子女的挑战
你平时有什么业余爱好啊	你平时有什么爱好啊
我有个重要问题那里有没有厕所	我有个问题那里有没有厕所
我们单位肯定跟国家一样的	单位肯定跟国家一样的
我家里东西多了	我家里多了
新年祝愿	祝愿
最下面的那个啊	最啊
俺公公也这么说	公公也这么说
网路新生活运动	网路新运动
小孩教育真是一门大学问	小孩教育真是一门大
我的庄家都长的不好	我的都长的不好
我姐姐他们来了	我他们来了
法律是道德的最底线	法律是道德的最
我们滴也没有	我们滴也
你忙我先下了	你忙我先了
她们还说了年报滴列	她们还滴列
我要休息	我要
我也感觉时间很少	我也感觉时间很
我没用电压力锅给她做过	我没用电压力锅给她
你上午还是下午有时间做	你上午还是下午
这个梯子已经不好卖了	这个梯子已经不好了
那你最近在干吗	那你最近在
我有钱报销	我报销
这样也不好	这样也好
所有电梯都一样都是国产的	所有电梯都一样是国产的
因为资格办理很麻烦而且很费钱	因为资格办理麻烦而且很费钱
现在人也不多啊	现在人也多啊
大家都是这样慢慢熬	大家都是慢慢熬
不过我现在现在有时还是也实在	不过我现在现在还是也实在
你怎么会看到	你会看到
你不好好上班捏	你好好上班捏
那不算事的	那算事的
我平时呢也其实也不是	我平时呢也也不是
利民经常干这种事情的	的
我来了啊	啊
我也是啊	啊
你们幸福啊	啊
品质完全不一样啊	啊
各有各的好吧	吧
我们都好悲催啊	啊
中途车会开走的	的
我怎么啦	啦
大奶奶在吗	吗
要不然谁知道怎么回事	要不然谁知道
我买了挺多肉丸的	我买了的
语言是工具	语言是
你们同学吗	你们吗
我们恐怕春节还得回去	我们恐怕还得回去
我登我的看看	我登看看
我哪有时间去电影院啊	我哪有时间去啊
那你几点到啊	那你到啊
也许我给她错觉了	也许我给错觉了
她是个行政的主任	她是
中石化的又一新闻	又一新闻
按照银行报表的销售额可以	按照销售额可以
这边的人好像没受影响	人好像没受影响
公大得孩子很苦逼得	孩子很苦逼得
你们是现代版的爱情神话	你们是爱情神话
我懂他的意思	我懂意思
他一般不参加我的活动	他一般不参加活动
我有你的啊	我有啊
我的名字霸气吧	名字霸气吧
嗯我上周给我们部门的人讲课	嗯我上周给人讲课
