demonstration	demon_label	delete	cons
We put some orders together	We put together	some orders	NP-D2-N2
They used their judgment	They used	their judgment	NP-D2-N2
Congress previously cut six airports this year	Congress previously cut this year	six airports	NP-D2-N3
There were no new issues	There were	no new issues	NP-D2-N2
He no longer crowds the plate	He no longer crowds	the plate	NP-D2-N4
And it left mixed signals for London	And it left for London	mixed signals	NP-D2-N2
Professionals dominated municipal trading throughout the session	Professionals dominated throughout the session	municipal trading	NP-D2-N2
Other companies are introducing related products	Other companies are introducing	related products	NP-D3-N1
Trading in cotton and sugar was nervous and showed small declines	Trading in cotton and sugar was nervous and showed	small declines	NP-D3-N6
Arm troubles forced him back to the minors the next year	Arm troubles forced him back to the minors	the next year	NP-D2-N6
The above represents a triumph of either apathy or civility	The above represents	a triumph of either apathy or civility	NP-D2-N3
He temporarily abandoned his search for the Reuters shares	He temporarily abandoned	his search for the Reuters shares	NP-D2-N3
Options markets stopped trading in many securities	Options markets stopped	trading in many securities	NP-D2-N3
The key here is the ambition of state Attorney General John Van de Kamp	The key here is	the ambition of state Attorney General John Van de Kamp	NP-D2-N4
Commodity futures prices generally reflected the stability of the stock market following its plunge Friday	Commodity futures prices generally reflected following its plunge Friday	the stability of the stock market	NP-D2-N5
The Ways and Means Committee will hold a hearing on the bill next Tuesday	The Ways and Means Committee will hold next Tuesday	a hearing on the bill	NP-D3-N1
But the chain is quickly realizing the pitfalls of such endorsements	But the chain is quickly realizing	the pitfalls of such endorsements	NP-D3-N2
Deal stocks led the market down as they absorbed the heaviest losses	Deal stocks led down as they absorbed the heaviest losses	the market	NP-D2-N3
One big obstacle is that few drugstores develop the film anymore	One big obstacle is that few drugstores develop anymore	the film	NP-D5-N3
An official linked the gain essentially to higher prices for beef and pork	An official linked essentially to higher prices for beef and pork	the gain	NP-D2-N3
Conversation was subdued as most patrons watched the latest market statistics on television	Conversation was subdued as most patrons watched on television	the latest market statistics	NP-D5-N3
The loss of more customers is the latest in a string of problems	The loss of more customers is	the latest in a string of problems	NP-D2-N3
Merck is one of the most important stocks in the Major Market Index	Merck is	one of the most important stocks in the Major Market Index	NP-D2-N2
Enfield is a holding company with interests in manufacturing concerns	Enfield is	a holding company with interests in manufacturing concerns	NP-D2-N2
But its surprising progress so far holds important lessons for companies in trouble	But its surprising progress so far holds	important lessons for companies in trouble	NP-D2-N6
Traders can vary their strategies and execute their orders in any one of them	Traders can vary and execute their orders in any one of them	their strategies	NP-D4-N1
The relative calm in Tokyo proved little comfort to markets opening up in Europe	The relative calm in Tokyo proved	little comfort to markets opening up in Europe	NP-D2-N3
Employees wore identification badges listing not only their names but also their dates of hire	Employees wore	identification badges listing not only their names but also their dates of hire	NP-D2-N2
The pilots argued that this triggered a pay raise for them	The pilots argued that this triggered	a pay raise for them	NP-D5-N2
It is hoped that other Japanese would then follow the leader	It is hoped that other Japanese would then follow	the leader	NP-D7-N2
