demonstration	test_sentence	response
Most people respect this great leader	The golden treasure lies in the dense jungle	The golden treasure lies
This beautiful painting evokes strong emotions	The small boat stays in the calm lake	The small boat stays
Their enthusiastic coach trains the young team	A lost puppy walks towards the city park	A lost puppy walks
The plan lacked a withdrawal timetable	The rare artifact stays in the secured vault	The rare artifact stays
The young girl loves her new toy	The young boy looks at the toy store window	The young boy looks
The old man feeds the stray cat	A full moon appeared in the dark night sky	A full moon appeared
The local community supports our fundraising event	His glasses lie on the bedside table	His glasses lie
Our friendly neighbor shares his delicious food	The thick essay lies on the shelf	The thick essay lies
Two election commission members opposed the matching plans	A gentleman walks towards the bustling cafe	A gentleman walks
Many law firms sponsor their own programs	His parents rushed to his side	His parents rushed
Some institutional traders loved the wild ride	His father died of a heart attack	His father died
Hostile takeovers are quite a new phenomenon	The fresh linens lie in the laundry basket	The fresh linens lie
Potential side effects include high blood pressure	His family lived in an old farmhouse	His family lived
Her father protects the family	the rest students sat on the ground	the rest students sat
The suit seeks unspecified damages	the old guests sat at the dinner table	the old guests sat
The diligent student learns her lessons	The secret letter lies on the old wooden desk	The secret letter lies
His father ran a construction company	The accident happened on Saturday night	The accident happened
Local residents appreciate the beautiful park	Most people live in rural areas	Most people live
Prospective competition is one problem	The story begins in a small town	The story begins
Rising operating expenses are another problem	The great artist died from a serious illness	The great artist died
The federal judge granted a temporary restraining order	the old man looked at the window	the old man looked
City dwellers crave a quiet countryside life	The fragile vase stays on the top shelf	The fragile vase stays
My little brother enjoys this interesting game	The road sign points to the nearest exit	The road sign points
Accounting problems raise more knotty issues	A picture hangs at his study	A picture hangs
