original	label	prediction
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks towards
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
Many squirrels live in the oak tree	many squirrels live in the oak tree	many squirrels live
His family lived in an old farmhouse	His family lived in	his family lived
The story begins in a small town	the story begins in a small town	the story begins
the old man looked at the window	the old man looked at the window	fail to follow
The young boy looks at the toy store window	the young boy looks at the toy store window	the young boy looks
His father died of a heart attack	His father died of	his father died
A full moon appeared in the dark night sky	a full moon appeared in the dark night sky	a full moon appeared
The accident happened on Saturday night	The accident happened on	the accident happened
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
The accident happened on Saturday night	The accident happened on	the accident happened
the old guests sat at the dinner table	the old guests sat at the dinner table	the old guests sat
His father died of a heart attack	His father died of	his father died
The golden treasure lies in the dense jungle	the golden treasure lies in the dense jungle	the golden treasure lies
A lost puppy walks towards the city park	a lost puppy walks towards the city park	a lost puppy walks
A gentleman walks towards the bustling cafe	a gentleman walks towards the bustling cafe	a gentleman walks
The little girl walks towards the living room	the little girl walks towards the living room	the little girl walks towards
The story begins in a small town	the story begins in a small town	the story begins
The fresh linens lie in the laundry basket	the fresh linens lie in the laundry basket	the fresh linens lie
Most people live in rural areas	Most people live in	most people live
