original	label	prediction
It all adds up to a cold winter here	It all adds up to a cold winter here	All adds up to cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	fail to follow
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a cold
It all adds up to a cold winter here	It all adds up to a cold winter here	It adds up to a winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to cold here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	adds up to a cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds to a cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to
It all adds up to a cold winter here	It all adds up to a cold winter here	It adds up to a winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	it all adds up to a cold
It all adds up to a cold winter here	It all adds up to a cold winter here	it all adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	adds up to a cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up
It all adds up to a cold winter here	It all adds up to a cold winter here	adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	it adds up to a cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	it all adds up to a cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	it all adds up
It all adds up to a cold winter here	It all adds up to a cold winter here	all adds up to cold winter here
It all adds up to a cold winter here	It all adds up to a cold winter here	It
It all adds up to a cold winter here	It all adds up to a cold winter here	It adds up to cold winter
It all adds up to a cold winter here	It all adds up to a cold winter here	It all adds up to a cold winter
