demonstration	test_sentence	response
The historical profession will survive these decisions	At least half that growth will have come in the past three years alone	Half growth will have come in the past three years alone.
They looked at the miniature and saw a giant folly	The election was by secret ballot in the General Assembly	The election was in the General Assembly and by secret ballot.
Canadian investment rules require that big foreign takeovers meet that standard	The entire opera is her dream	The entire opera that makes her dream realized.
United Illuminating also amended its rate plan	The market is still very touchy about rumors and news on pending takeovers	The market is still very touchy.
The Fed has assumed a similar responsibility in the market for government securities	Bob Stone stewed over a letter from his manager putting him on probation for insubordination	Bob Stone stewed over a letter.
It was the highest bid in history for a work of art	There were many more	There were.
Other network applications have very different goals	The engine plant may encompass plans for a joint components venture with Jaguar	The engine plant may encompass.
Japan is a major target for the Soviets	The stock market is certainly not too big for the Fed to handle	The stock market is.
But the firm has never had a day like yesterday	Liquidity is not a service	Liquidity is not.
Wilfred closed its Massachusetts schools earlier this year	Brand loyalty was stronger among older consumers in the Journal survey	Brand loyalty was stronger in the Journal survey.
He had been associate professor in the department of finance at Seton Hall University	The board will be made up of seven directors of each holding company	The board will be.
The charges said that one worker suffered permanent brain damage from mercury exposure	Yet he has proved more resilient than any of them	Yet he has proved more than resilient.
Other companies are introducing related products	There are a few ramshackle fishing towns with quiet atolls of resort houses nearby	A few ramshackle fishing towns with quiet atolls of resort houses  are nearby.
Other scandal survivors are sometimes the best source of solace	Lackluster returns are one reason	Lackluster returns.
The network must refund money to the advertisers and loses considerable revenue and prestige	Talk show hosts quickly change the topic	Talk show hosts quickly change.
Hostile takeovers are quite a new phenomenon	That means huge travel bills	That means.
The deal would require approval by a majority of Jaguar shareholders	In the end politics got in the way	In the end politics got.
It arrived just as the regulator handling such operations was retiring	Moscow and Kabul must have found that information useful	Moscow and Kabul must have found.
The Maybelline beauty product line had higher sales following a sluggish first half	The plan is subject to approval by the bankruptcy court and others	The plan is subject by the bankruptcy court and others.
The Bakersfield Supermarket went out of business last May	One big problem has been the thoroughbred racehorse market	One big problem has been the racehorse market
The Ways and Means Committee will hold a hearing on the bill next Tuesday	Chicago has the largest population of citizens of Polish heritage in any city outside Poland	Chicago has in any city outside Poland.
The plan lacked a withdrawal timetable	Inflation is at record levels	Inflation is.
The finance unit attributed the decline to higher borrowing costs compared with a year earlier	The ferocious competition probably will drive some poorly managed properties into bankruptcy or new ownership	The ferocious competition probably will drive into bankruptcy or new ownership.
The company also faces delisting by the National Association of Securities Dealers	He said that the research team had no financial stake in the drug	He said.
