demonstration	test_sentence	response
哎我也是这个点起来的	我预约了心脏彩超	fail to follow
你可以去研究这种社会课题了	我搬新家了	我搬家了
咱没有那个本事跟着去学肯定不行	你不知道他的凶样	fail to follow
小兵立大功	你肯定是一个好爸爸	你肯定是一个好爸
我提供电子版的	机房里就一个交换机	机房里就一个
家里一堆事情	我是给我爱人定的	我是给我爱人
她是个行政的主任	队员家长送了张卡	队员家长送了
那单词用什么书呢	你去选课网站看下培养计划	你去看下
小兵立大功	他们可能是通过其他渠道知道的	他们可能是通过其他渠道知道
咱没有那个本事跟着去学肯定不行	胡萝卜不是小人参吗	fail to follow
他是退工资的吧	你只谈谈你的想法就行	你只谈谈想法
钱到位你就买你单位的吧	你可以去研究这种社会课题了	fail to follow
你是怎么知道这篇文章的	因为我这学期还不能做	我这学期还不能做
我也要试试这个机构才行	弱国就是大国的练兵场啊	fail to follow
你下午几点结束	我周六凌晨的飞机	我周六飞机
那单词用什么书呢	你公公肯定怕你和你对象乱花钱	你公公怕你乱花钱
你发到我信箱吧	你是不是有车老师的邮箱之类的	你是不是有车老师的之类的
我也要试试这个机构才行	我都是问中文的	我都是中文的
你肯定是一个好爸爸	呵呵只是我怕我的能力有限呀	呵呵只是我怕
我有新衣服	他搞他的我搞我的	他搞他的我搞
你可以去研究这种社会课题了	这个领导可能有领导的想法吧	这个领导可能有想法吧
他们住一楼	我登我的看看	我登看看
我要打造巨星品牌	他加入他们群了	他加入了
你认识新朋友没	那你就赚不了多少钱啊	你赚不了多少钱啊
