original	label	prediction
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	脱节了
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说
他说我与时代脱节了	他说我与时代脱节了	他说与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我时代脱节了
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	他说我
他说我与时代脱节了	他说我与时代脱节了	与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	时代脱节
他说我与时代脱节了	他说我与时代脱节了	他说我
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
他说我与时代脱节了	他说我与时代脱节了	时代
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我与脱节了
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我与代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我与时代脱节
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	说我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我与脱节了
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	我与时代脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我与时代脱节
他说我与时代脱节了	他说我与时代脱节了	他说我与时脱了
他说我与时代脱节了	他说我与时代脱节了	与时代
他说我与时代脱节了	他说我与时代脱节了	fail to follow
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
他说我与时代脱节了	他说我与时代脱节了	他说我脱节了
