demonstration	test_sentence	response
该计划缺乏撤回时间表	学生们看向复杂的方程式	学生们看向
联邦法官授予临时限制令	一轮圆月出现在漆黑的夜空上	一轮圆月出现
勤奋的学生学习她的课程	厚厚的论文摆放在书架上	厚厚的论文摆放
上升的运营费用是另一个问题	年老的客人们坐在晚餐桌旁	年老的客人们坐在
她的父亲保护家人	剩余学生坐在地上	剩余学生坐在
你的父亲值得一个假期	小船停在平静的湖面上	小船停在
那个老人喂那只流浪猫	一件惊讶的事情发生在他们的结婚纪念日上	一件惊讶的事情发生
这幅美丽的画引发强烈的情感	这件稀有文物保存在安全保险库中	这件稀有文物保存
他们热情的教练训练年轻的团队	一只迷路的小狗走向城市公园	一只迷路的小狗走
预期的竞争是一个问题	他的父母冲到他身旁	他的父母冲
一些机构交易员喜欢这种疯狂的旅程	这个老人看向窗户	这个老人看
该诉讼寻求未具体说明的损害赔偿	他们一家生活在一个老旧农舍里	他们一家生活
那个年轻的女孩爱她的新玩具	许多松鼠生活在橡树上	许多松鼠生活
大部分人尊敬这位伟大的领导者	这个故事始于一个小镇	这个故事始于
两名选举委员会成员反对配对计划	小男孩看向玩具店的橱窗	小男孩
城市居民渴望安静的乡村生活	小女孩走向卧室	小女孩走
我的小弟弟享受这个有趣的游戏	黄金宝藏位于茂密的丛林	黄金宝藏位
城市的孩子接收免费的教育	路标指向最近的出口	路标指
养老金改革是其主要推动力	一位绅士走向繁忙的咖啡厅	一位绅士走
他的父亲经营一家建筑公司	易碎的花瓶放在顶层书架	易碎的花瓶放
会计问题引发更多棘手事件	他的眼镜放在床头柜上	他的眼镜放
可能的副作用包括高血压	干净的床单放在洗衣篮中	干净的床单放
我的朋友们珍惜我们的高中回忆	他的父亲死于一次心脏病	他的父亲死
当地居民欣赏美丽的公园	旧地图指向隐藏的宝藏	旧地图指
